Date of Cartoon,Title,Major Subject
"Wednesday, November 20, 1957","""How Did You Say Their Election Came Out?""",Eisenhower Administration
"Thursday, November 21, 1957","""Button, Button, Who Gets The Button?""",Cold War
"Friday, November 22, 1957","""Whew! At First I Thought It Was Sent Up By One Of The Other Services""",Cold War
"Sunday, November 24, 1957","""What Do I Hitch My Wagon To?""",Congress
"Monday, November 25, 1957","""But I Was So Careful To Keep It Safe""",Cold War
"Friday, December 20, 1957","Never Laid A Glove On Me. By The Way, Where Am I?'",Eisenhower Administration
"Sunday, December 22, 1957",Under The Missiletoe,Cold War
"Monday, December 23, 1957",Fireside Chat,Eisenhower Administration
"Tuesday, December 24, 1957","""This Isn't A Push-Button Operation""",Eisenhower Administration
"Wednesday, December 25, 1957",[Untitled],Christmas
"Thursday, December 26, 1957","""Boy, These New Cars Will Do Anything""",US Economy
"Friday, December 27, 1957","""That's Odd -- They Get Answers This Way On TV""",Eisenhower Administration
"Sunday, December 29, 1957","""How Did I Get in This Box?""",Eisenhower Administration
"Monday, December 30, 1957","""Any Prospect Of Negotiation Over Here?""",Eisenhower Administration
"Tuesday, December 31, 1957","""Tell You What -- We'll Help Some Of You Go On To Overcrowded Colleges""",Eisenhower Administration
"Wednesday, January 1, 1958","""I Was Just Going To Ask You The Same Thing""",New Year
"Thursday, January 2, 1958","""Think They'll Stand Still While We Catch Up?""",Cold War
"Friday, January 3, 1958","""We'd Let You See It But We're Afraid You Might Be Overcome With Joy""",Eisenhower Administration
"Sunday, January 5, 1958","""Don't You Ever Have Anything Fresh?""",Eisenhower Administration
"Monday, January 6, 1958","""Maybe You'd Better Start Out With A Funny Story""",Eisenhower Administration
"Tuesday, January 7, 1958","""You Were Saying -- ?""",Eisenhower Administration
"Wednesday, January 8, 1958","""Never Mind About Trees And Soil -- Make Us Some Fruit""",Eisenhower Administration
"Thursday, January 9, 1958","""Yeah -- I'm Still In""",Eisenhower Administration
"Friday, January 10, 1958","""Good -- Now Let's See You Handle The Wheel""",Eisenhower Administration
"Sunday, January 12, 1958","""Why, No -- I Haven't Been Sitting on That Report""",Eisenhower Administration
"Monday, January 13, 1958","""I'll Let You Know What You Ought To Look Into""",Congress
"Tuesday, January 14, 1958","""Well, I Got That In, All Right""",Eisenhower Administration
"Wednesday, January 15, 1958",Different Worlds,Cold War
"Thursday, January 16, 1958","""Or Maybe You'd Rather Put in a New Floor""",Congress
"Friday, January 17, 1958","""Think There's Been Enough Meeting Of Minds Yet?""",Eisenhower Administration
"Sunday, January 19, 1958","""Well, I Asked Them For Quick Action --""",Eisenhower Administration
"Monday, January 20, 1958","""You Said It, Chief -- We Need More Republicans Up There""",Eisenhower Administration
"Tuesday, January 21, 1958","""I've Always Meant To Ask You, Juan -- How Did You Make Out In This Business?""",Venezuela
"Wednesday, January 22, 1958","""Look -- We've Got A Secret Weapon""",Cold War
"Thursday, January 23, 1958","""It's Just That We Can't Afford The Money""",Eisenhower Administration
"Friday, January 24, 1958","""Instead Of The Quiz Program Originally Scheduled""",Congress
"Sunday, January 26, 1958","""Maybe We Should Propose Shooting This Stuff Across In Rockets""",Eisenhower Administration
"Monday, January 27, 1958","""Meanwhile, Back At The Continent --""",Eisenhower Administration
"Tuesday, January 28, 1958","""Fine -- Now All We Need To Do Is Jack It Up And Put A School Under It""",Eisenhower Administration
"Wednesday, January 29, 1958","""Can You Hurry? We're In An Important Race""","Congressional Elections, 1958"
"Thursday, January 30, 1958","""Ev'rybody, Now -- In The Good Old Summit Time, In The Good Old Summit Time --""",Cold War
"Friday, January 31, 1958","""I've Got My Hands On the Reins All The Time""",Congress
"Sunday, February 2, 1958","""Don't Ask Me Why -- It's an Old Ritual""",Congress
"Monday, February 3, 1958","""Tell The Peasants To Step Aside""",Eisenhower Administration
"Tuesday, February 4, 1958","""We're Not Up Yet""",Eisenhower Administration
"Wednesday, February 5, 1958","""Well, I See Harold Got Him To Swallow Something""",Eisenhower Administration
"Thursday, February 6, 1958","""Bon Voyage!""",Cold War
"Friday, February 7, 1958","""How Many Are Now -- Uh -- Temporarily Inactive In The -- Uh -- Economic Readjustment?""",Eisenhower Administration
"Sunday, February 9, 1958","""A Thousand Apologies, Gentlemen. He's a New Man""",Congress
"Monday, February 10, 1958","""What I Really Want Is a Few Jars of Instant Science""",Eisenhower Administration
"Tuesday, February 11, 1958","""I Hear We're In a -- Puff Puff -- Breathing Spell""",US Economy
"Wednesday, February 12, 1958","""I've Told You Fifty Times -- Not At The Front Door!""",Eisenhower Administration
"Thursday, February 13, 1958","""Rest Assured We'll Proceed Full Speed Ahead""",Congress
"Friday, February 14, 1958","""It Looks As If Somebody Had Pay TV""",Eisenhower Administration
"Sunday, February 16, 1958","""Here, Together Under One Tent --""",Eisenhower Administration
"Monday, February 17, 1958","""Anyone Care About Old-Fashioned Open Space?""",Congress
"Tuesday, February 18, 1958","""Briefly, It Says, 'Have You Ever Thought Of Trying Non-Fiction?""",Cold War
"Wednesday, February 19, 1958","""Baby, It's Almost As Cold Outside""",Eisenhower Administration
"Thursday, February 20, 1958","""The Federal Communications Seem To Be Terrific""",Eisenhower Administration
"Friday, February 21, 1958","""This Will Keep Out Foreign Salesmen""",Eisenhower Administration
"Sunday, February 23, 1958","""Let's Face This Squarely -- Some Of You Haven't Been Smiling Enough""",Eisenhower Administration
"Monday, February 24, 1958","""I'll Have The Law On You""",Senate
"Tuesday, February 25, 1958","""Not Yet""",Eisenhower Administration
"Wednesday, February 26, 1958","""By The Way, Who Appoints Those Fellows?""",Eisenhower Administration
"Thursday, February 27, 1958","""Save Your Money -- I'll Take Care Of Everything""",Cold War
"Friday, February 28, 1958","""I Don't Want Anything More About That""",Eisenhower Administration
"Sunday, March 2, 1958","""What Is It We're Trying To Save?""",Congress
"Monday, March 3, 1958","""What's the Latest on Getting in From Outer Space?""",Statehood
"Tuesday, March 4, 1958","""Can't Be Spending Money Foolishly, You Know""",Congress
"Wednesday, March 5, 1958","""Do I Hear Somebody Call 'Emergency'?""",US Economy
"Thursday, March 6, 1958","""Okay -- Keep At It""",Congress
"Friday, March 7, 1958","""Okay -- You'll Be On Radio Tracking, You'll Be On Moonwatch, And You'll Be On Lost-And-Found Ads""",Eisenhower Administration
"Saturday, March 8, 1958","""Couldn't Have Happened At A Better Time""",Labor
"Sunday, March 9, 1958",Arabian Nights,Middle East
"Monday, March 10, 1958","""Mind If We Play Through?""",Eisenhower Administration
"Tuesday, March 11, 1958","""Shaddup! -- You're Just The Guy That's Paying For This Car""",Congress
"Wednesday, March 12, 1958","""Hurry! We Can Talk About Where We're Going After We Get There""",Cold War
"Thursday, March 13, 1958","""You Know, Lewis, I Think I Do Detect Some Blasts""",Eisenhower Administration
"Friday, March 14, 1958","""We Got Another Room Ready?""",Dominican Republic
"Sunday, March 16, 1958","""If It Works Out, It'll Be A Nice Change""",Eisenhower Administration
"Monday, March 17, 1958","""We're Gonna Flush Out the Criminals""",Congress
"Tuesday, March 18, 1958","""I Think I'll Orbit Over To The Army-Navy Club""",United States Armed Forces
"Wednesday, March 19, 1958","""How Are We Doing With Those Anti-Missile Missiles?""",Congress
"Thursday, March 20, 1958","""Sweetiepie, Tell Us Little Old Judges In Your Own Words What A Scoundrel That Reuther Is""",Senate
"Friday, March 21, 1958",[Untitled],Eisenhower Administration
"Sunday, March 23, 1958","""If You Get It, Remember I Mentioned It""",Eisenhower Administration
"Monday, March 24, 1958","""Mirror on the Billboard Wall, What's the Fairest Sight of All?""",Senate
"Tuesday, March 25, 1958","""Quiet! We're Thinking Up A New Reason""",Eisenhower Administration
"Wednesday, March 26, 1958","""Okay, But How About A Little Less Starchness?""",Cold War
"Thursday, March 27, 1958",[Untitled],Eisenhower Administration
"Friday, March 28, 1958",The Machine Age,Soviet Union
"Sunday, March 30, 1958","""What Would It Cost To Add A Storm Cellar?""",Congress
"Monday, March 31, 1958","""-- Or To Take Trouble Against A Sea Of Arms --""",Eisenhower Administration
"Tuesday, April 1, 1958","""You Think This Nuclear Stuff Really Produces Changes In People?""",Eisenhower Administration
"Wednesday, April 2, 1958","""As I Was Saying, We're Not Going To Lose Our Shirt""",Eisenhower Administration
"Thursday, April 3, 1958",The Voice Of The Turtle,Eisenhower Administration
"Friday, April 4, 1958","""-- This 13th Anniversary Of Your Liberation --""",Soviet Union
"Sunday, April 6, 1958","""What Kind Of Beeps Are You Picking Up?""",Congress
"Monday, April 7, 1958","""By The Way, Don't Expect 100% Cooperation""",Eisenhower Administration
"Tuesday, April 8, 1958","""When Do We Get Out Of This Depression?""",Eisenhower Administration
"Wednesday, April 9, 1958","""You'll Note The Familiar Cave Painting Motif""",US Economy
"Thursday, April 10, 1958",Laughter From Olympus,Special Interests
"Friday, April 11, 1958","""There Also Seems To Be Some Unrest Among The Americans""",Eisenhower Administration
"Sunday, April 13, 1958","""Brother, Let Me Tell You About Tortoises""",Cold War
"Monday, April 14, 1958","""I Hear You're Still Trying To Eliminate Fallout""",Eisenhower Administration
"Tuesday, April 15, 1958","""Sharp, Isn't It?""",Congress
"Wednesday, April 16, 1958",[Untitled],Cold War
"Thursday, April 17, 1958","""We Defend Your Honor, Madame""",France
"Friday, April 18, 1958","""Stop At Once, Do You Hear?""",United Nations
"Sunday, April 20, 1958","""Secrecy? What Secrecy?""",Eisenhower Administration
"Monday, April 21, 1958","""Lewis Strauss Says That To Stop Nuclear Tests Would Be A Tragic Mistake""",Eisenhower Administration
"Tuesday, April 22, 1958","""Think We'll Ever Get Up To 1958 Recession Levels?""",Schools
"Wednesday, April 23, 1958","""We'll Do All The Judging Around Here""",Senate
"Thursday, April 24, 1958","""Don't Get Hysterical -- I'm Watching All The Time""",Eisenhower Administration
"Friday, April 25, 1958","""Yes, This Is The Department Of Defense""",Eisenhower Administration
"Sunday, April 27, 1958","""Trouble Is, There's Too Damn Many Summits Around Here""",Soviet Union
"Monday, April 28, 1958","""Well, Men, What'll We Refrain From Doing Now?""",Eisenhower Administration
"Tuesday, April 29, 1958",[Untitled],Eisenhower Administration
"Wednesday, April 30, 1958","""All I Got Was One Station In Florida""",Senate
"Thursday, May 1, 1958","""Nah -- Wrong Kind Of Summit""",Soviet Union
"Friday, May 2, 1958","""You'll Be Glad To Know I Found Your Lost Cat""",Eisenhower Administration
"Sunday, May 4, 1958","""Is That The Height Of Our Ambition?""",Cold War
"Monday, May 5, 1958","""Man, This Is Certainly A Good Joke On The Union""",Labor
"Tuesday, May 6, 1958","""A Cold Air Mass Seems To Have Moved In From The East, Bringing Fog ...""",Cold War
"Wednesday, May 7, 1958","""Well, Hello There, Old Pal, Old Pal, Old Pal""",Congress
"Thursday, May 8, 1958","""We're Faced With A Security Crisis. Information Is Still Leaking Into This Country""",Eisenhower Administration
"Friday, May 9, 1958","""You'll Make Better Time Without This Extra Wheel""",US Economy
"Sunday, May 11, 1958","""This Will Give You Both An Even Chance""",Congress
"Monday, May 12, 1958","""Pity About the Cold War. Their Land Mass Would Accommodate Our Newer and Longer Cars""",Cold War
"Tuesday, May 13, 1958","""Find Any Fingerprints On It?""",Soviet Union
"Wednesday, May 14, 1958","""By The Way, What Have We Been Doing About Latin America These Past Few Years?""",Eisenhower Administration
"Thursday, May 15, 1958","""By God, I'm Going To Win A Victory Over Somebody""",France
"Friday, May 16, 1958","""I'm Pulling Against Him""",France
"Sunday, May 18, 1958","""Want Any More Arguments For Nuclear Control?""",World Stability
"Monday, May 19, 1958","""Could You Put An Alarm Clock In The Next One?""",Cold War
"Tuesday, May 20, 1958","""You Know, I Think People Are Worrying Less About The Recession""",Eisenhower Administration
"Wednesday, May 21, 1958","""Ha! An Un-American Tendency Toward Free Speech!""",House Un-American Activities Committee
"Thursday, May 22, 1958","""Great System""",Air Travel
"Friday, May 23, 1958","""Goodness, I Wouldn't Think Of Using Force""",France
"Sunday, May 25, 1958","""Could You Just Tell Me, Is There Ever A Good Time?""",Eisenhower Administration
"Monday, May 26, 1958","""You Fellows Go Right On Talking -- I'll Let You Know When I Reach a Decision""",Eisenhower Administration
"Tuesday, May 27, 1958","""Your Office Seems To Be On Fire""",World Stability
"Wednesday, May 28, 1958","""We Have A Report That A Newspaperman Asked You What Time It Was -- And You Told Him""",Eisenhower Administration
"Thursday, May 29, 1958","""Howdy, Pardners""",Eisenhower Administration
"Friday, May 30, 1958","""It's A Little Something I Learned From Our Salmon""",Statehood
"Sunday, June 1, 1958","""My Boy, Have You Thought Of Continuing With A Graduate Course?""",Eisenhower Administration
"Monday, June 2, 1958","""I Think We're Beginning To Get The Picture""",Congress
"Tuesday, June 3, 1958","""We Like It So Well, We Want To Sail It For You""",Congress
"Wednesday, June 4, 1958","""You Deviationist!""",Communism
"Thursday, June 5, 1958","""I Think I'm Beginning To Feel A Sense Of Urgency""",Eisenhower Administration
"Friday, June 6, 1958","""Who -- Me? I Can't Afford To""",Eisenhower Administration
"Sunday, June 8, 1958","""Have To Keep Peace In The Family, You Know""",Eisenhower Administration
"Monday, June 9, 1958","""I'd Be Glad To Take Out A Few Things, But I'm Afraid To Open The Door""",Congress
"Tuesday, June 10, 1958","""Hit It Again -- I Don't Think They Heard You""",Eisenhower Administration
"Wednesday, June 11, 1958",Man On Horseback,France
"Thursday, June 12, 1958","""There's a Small Hotel With A Wishing Well""",Eisenhower Administration
"Friday, June 13, 1958","""He Many Not Be Doing So Well In California, But --""",Congress
"Sunday, June 15, 1958","""The Advertising Sounded Great""",Eisenhower Administration
"Monday, June 16, 1958","""All We Want Is The Truth As We See It""",House Un-American Activities Committee
"Tuesday, June 17, 1958",Man Overboard,Eisenhower Administration
"Wednesday, June 18, 1958","""They Were Purely Routine Calls""",Eisenhower Administration
"Wednesday, June 18, 1958","""That Respectable Cloth Coat Is Wearing Kinds Thin""",Eisenhower Administration
"Wednesday, July 23, 1958","""Up?""",Cold War
"Thursday, July 24, 1958","""I'll Be Glad To Come! -- And I'll Set The Date, Make Up The Guest List, Select The Program, Choose The Menu, Pick Out The Music ...""",Cold War
"Friday, July 25, 1958","""Stay Right Where You Are -- I'll Come To You""",Cold War
"Sunday, July 27, 1958","""... At Night, When You're Asleep, Into Your Tent I'll Creep ...""",Middle East
"Monday, July 28, 1958","""The Natives Are Looking Kind Of Attractive""",Eisenhower Administration
"Tuesday, July 29, 1958","""You Fellows Aren't Going To Put It Back Just Like That, Are You?""",Middle East
"Wednesday, July 30, 1958",Thinker,Middle East
"Thursday, July 31, 1958","""I Can Lick Any Other Peace-Lover In The House""",Cold War
"Friday, August 1, 1958","""Now, Would You Mind Raising Your Little Finger?""",Eisenhower Administration
"Sunday, August 3, 1958","""Yes, It's -- Ulp -- Delicious""",Eisenhower Administration
"Monday, August 4, 1958","""Yeah, But It Gives Us The Feeling We're Controlling It""",Eisenhower Administration
"Tuesday, August 5, 1958","""Oh, Great! -- That's All I Needed""",US Economy
"Wednesday, August 6, 1958","""Goodness Knows I Tried""",Cold War
"Thursday, August 7, 1958","""Gee, That's Terrible""",Congress
"Friday, August 8, 1958","""Testing -- Aggressor! Imperialist! Assassin! Testing --""",United Nations
"Sunday, August 10, 1958","""How's That for Bold, Imaginative Thinking?""",Eisenhower Administration
"Tuesday, August 12, 1958","""They Don't Say Positively""",Eisenhower Administration
"Wednesday, August 13, 1958","""-- This Splendid Achievement, Made Possible By A Man Whose Name I Forget --""",Eisenhower Administration
"Thursday, August 14, 1958",View Of A Summit,Eisenhower Administration
"Friday, August 15, 1958","""Who Says I'm Not Interested In Cleaning Up?""",Congress
"Sunday, August 17, 1958","""We Sympathize With Native Aspirations In The Middle East""",Soviet Union
"Monday, August 18, 1958",Lighthouse,United Nations
"Tuesday, August 19, 1958","""Ain't She A Beaut?""",Congress
"Wednesday, August 20, 1958",Big Rock,Little Rock Crisis
"Thursday, August 21, 1958","""I Wouldn't Let You Use This Old Thing -- It Might Not Give You Enough Protection""",Congress
"Friday, August 22, 1958","""You Can Make It""",Eisenhower Administration
"Sunday, August 24, 1958","""You Should Have Done Better Than That""",Eisenhower Administration
"Monday, August 25, 1958","""Boys, Please -- Are You Listening To Me?""",Eisenhower Administration
"Tuesday, August 26, 1958","""This Sure Beats Cleaning Up After A War""",Cold War
"Wednesday, August 27, 1958","""It Worked Fine As Long As Nobody Asked, 'Or Else What?'""",Eisenhower Administration
"Thursday, August 28, 1958","""And All This Time I Was Hoping You'd Speak Up""",Eisenhower Administration
"Friday, August 29, 1958","""Ah, But We Can't Fix It Now -- It's Raining Again""",Eisenhower Administration
"Sunday, August 31, 1958","""When Do You Think There'll Be Some Excitement About School DISintegration?""",Eisenhower Administration
"Monday, September 1, 1958","""It's Great How Things Are Picking Up""",US Economy
"Tuesday, September 2, 1958","""Very Simple -- We Won't Recognize Their Bombs""",People's Republic of China
"Wednesday, September 3, 1958","""We Have To Go Along To Save Face""",Eisenhower Administration
"Thursday, September 4, 1958","""Well, You Can't Leave Us Now""",Eisenhower Administration
"Friday, September 5, 1958","""You Look Absolutely Stunning""",Eisenhower Administration
"Sunday, September 7, 1958","""Gosh, It's Nearly Time For The Closing Of Schools""",Racism
"Tuesday, September 9, 1958","""What's All This Reckless Talk About Peace Talks?""","Taiwan Strait Crisis, 1958"
"Wednesday, September 10, 1958","""I'll Help You Take It Down And Burn It""","Congressional Elections, 1958"
"Thursday, September 11, 1958","""If We're Lucky I Might Break Even, Huh?""","Taiwan Strait Crisis, 1958"
"Friday, September 12, 1958","""My Need Is Greater Than Yours""",Eisenhower Administration
"Sunday, September 14, 1958","""Personally, I've Never Been Interviewed By a Poll-Taker""","Taiwan Strait Crisis, 1958"
"Monday, September 15, 1958","""Any Questions?""",Supreme Court
"Tuesday, September 16, 1958",Convoy,"Taiwan Strait Crisis, 1958"
"Wednesday, September 17, 1958","""Think We Should Wait Till They Catch Up?""",World Stability
"Thursday, September 18, 1958","""Gee, If Only We Could Have Closed The Courts""",Supreme Court
"Friday, September 19, 1958","""Next Time We Take A Stand, Shouldn't We Study The Terrain Or Something?""",Eisenhower Administration
"Sunday, September 21, 1958","""There's Something Wrong With This Quiz Show Too""",Eisenhower Administration
"Monday, September 22, 1958",Dear Old Non-Golden Rule Days,Civil Rights
"Tuesday, September 23, 1958","""-- In Arriving At This Decision --""",Eisenhower Administration
"Wednesday, September 24, 1958","""-- Five Years, Eight Months And Two Days -- Five Years, Eight Months And Three Days --""",Eisenhower Administration
"Tuesday, October 7, 1958","""I Didn't Think They Stoop To A Dirty Trick Like That""","Taiwan Strait Crisis, 1958"
"Wednesday, October 8, 1958","""Fine -- Now All We Need Is Some Candidates Named McKinley""","Congressional Elections, 1958"
"Thursday, October 9, 1958","""Keep The Pot Boiling, Folks""""Keep The Pot Boiling, Folks""",Civil Rights
"Friday, October 10, 1958","""You Wanta Take Another Look At That Front One?""",Eisenhower Administration
"Sunday, October 12, 1958","""You Fellows Forget I Was Shanghaied""","Congressional Elections, 1958"
"Monday, October 13, 1958","""We Have a Kind of 'Two-China' Policy of Our Own""",People's Republic of China
"Tuesday, October 14, 1958",The Human Range,Eisenhower Administration
"Wednesday, October 15, 1958","""Now, Does Everybody Understand Our Position?""",Eisenhower Administration
"Thursday, October 16, 1958","""Of Course, If I Had The Top Job I'd Act Differently""","Congressional Elections, 1958"
"Friday, October 17, 1958","""Boy, If You Think That One's Complicated --""",Eisenhower Administration
"Sunday, October 19, 1958","""What's This Crazy Idea Of Independence For Anybody Besides Me?""",Middle East
"Monday, October 20, 1958","""Who's Going To Leash Or Unleash Whom?""",Eisenhower Administration
"Tuesday, October 21, 1958","""Back To The Shelter, Men""","Taiwan Strait Crisis, 1958"
"Wednesday, October 22, 1958","""Dear Sir: In Answer To Your Expression Of Concern Of A Couple Of Weeks Ago --""","Taiwan Strait Crisis, 1958"
"Thursday, October 23, 1958","""Gee, Fellows, This Is Fun. By The Way, Who Are The Rest Of The Boys?""",Eisenhower Administration
"Friday, October 24, 1958","""That's The Return I've Been Afraid Of""","Taiwan Strait Crisis, 1958"
"Sunday, October 26, 1958","""My Dear Fellow -- Ahaha -- the Pleasure Is All Mine""",Soviet Union
"Monday, October 27, 1958","""Don't Throw Bouquets At Me ...""","Congressional Elections, 1958"
"Tuesday, October 28, 1958","""Did I Hear Somebody Knock?""",Congress
"Wednesday, October 29, 1958","""Well, If You Fellows Aren't Going Anywhere, I Might As Well Come In""",Nuclear Weapons
"Thursday, October 30, 1958","""Is There A Peace-In-The-Family Prize?""",Soviet Union
"Friday, October 31, 1958","""You Fellows Serious This Time?""",World Stability
"Sunday, November 2, 1958","""Oh, Well -- We've Got Two Years to Explain That We Were Only Kidding""","Congressional Elections, 1958"
"Monday, November 3, 1958",Author! Author!,Soviet Union
"Tuesday, November 4, 1958","""Never Mind The Supply Ships -- Get This One""","Taiwan Strait Crisis, 1958"
"Wednesday, November 5, 1958","""How About This -- Will You Agree To Admit Inspectors If They Don't Bring In Any Books?""",Cold War
"Thursday, November 6, 1958",[Untitled],"Congressional Elections, 1958"
"Friday, November 7, 1958","""It Sure Must Have Been Potent, All Right""","Congressional Elections, 1958"
"Sunday, November 9, 1958","""What Do I Do Now, George?""",Eisenhower Administration
"Monday, November 10, 1958","""I Said I Wouldn't Stand In Your Way""",Little Rock Crisis
"Tuesday, November 11, 1958","""Obviously Not A Presidential Prospect -- They Seem To Like Him""","Presidential Election, 1960"
"Wednesday, November 12, 1958","""It'll Be Interesting To Find Out What The Other Side Is Like""",Eisenhower Administration
"Thursday, November 13, 1958","""Can You Make Out If They Look Real Determined?""",Congress
"Friday, November 14, 1958",Prodigal Father,Schools
"Sunday, November 16, 1958","""Why Don't You Move Out And Stop Torturing This Poor Guy?""",Cold War
"Monday, November 17, 1958","""And What Do We Do About These Darn Eisenhower Republicans?""","Congressional Elections, 1958"
"Tuesday, November 18, 1958","""Ah Yes -- We'll Take It Up At The Very Highest Level""",Eisenhower Administration
"Wednesday, November 19, 1958","""Lyndon, Are You Sure That's All You're Trying To Launch?""","Presidential Election, 1960"
"Thursday, November 20, 1958","""Gosh, I Think We're Outnumbered""",Statehood
"Friday, November 21, 1958","""Fortissimo -- Pianissimo -- Fortissimo --""",Cold War
"Sunday, November 23, 1958","""Maybe We Oughta Close Them Too""",Civil Rights
"Monday, November 24, 1958","""We're Not Doing So Well In Geneva But We're Getting Disarmament Over Here, Anyhow""",Eisenhower Administration
"Tuesday, November 25, 1958","""I'm Turning The Whole Matter Over To Him""",Cold War
"Wednesday, November 26, 1958","""I'm Right Behind You, General""",France
"Thursday, November 27, 1958","""Oh, No""",Statehood
"Friday, November 28, 1958",[Untitled],"Congressional Elections, 1958"
"Sunday, November 30, 1958","""I Don't Quite Know How To Tell You This --""",Eisenhower Administration
"Monday, December 1, 1958","""Didn't I Meet You In Korea Once?""",Cold War
"Tuesday, December 2, 1958","""If Only There Was Some Way We Could Stamp THEIR Stuff 'Secret'""",Eisenhower Administration
"Wednesday, December 3, 1958","""Is This An Early One, Or Is It Left Over From Last Summer?""",Cold War
"Thursday, December 4, 1958","""It's Kind Of A Two-Stage Thing""",Eisenhower Administration
"Friday, December 5, 1958","""Here, Boy -- Steady, Boy -- Have Some Sugar""",Congress
"Sunday, December 7, 1958","""You Suppose Khrushchev Knows More About The 1960 Race Than We Do?""","Presidential Election, 1960"
"Monday, December 8, 1958","""I Don't Know Why Everything Has To Keep Changing. When I Was a Young Man --""",Eisenhower Administration
"Tuesday, December 9, 1958","""I Don't Think They Want Me In There""",Soviet Union
"Wednesday, December 10, 1958","""Nah, You Ain't Got Enough Edjiccashun To Vote""",Civil Rights
"Thursday, December 11, 1958","""I Think This Is Rather A Sad Sort Of Thing ...""",Eisenhower Administration
"Friday, December 12, 1958","""Some Of These Democrats Seem To Have A Dangerous Belief In Democracy""",Congress
"Sunday, December 14, 1958","""He Asked, 'How About A Free Country?'""",Cold War
"Monday, December 15, 1958","""Alabama -- Alaska -- Arizona -- Arkansas --""",Eisenhower Administration
"Tuesday, December 16, 1958","""Lyndon, Could You Say A Few Calming Words To Our Boys Too?""",Congress
"Wednesday, December 17, 1958","""You've Got To Stop Being So Inflationary""",Eisenhower Administration
"Thursday, December 18, 1958","""The Situation In China Looks Interesting --""",People's Republic of China
"Friday, December 19, 1958","""I Never Worked So Hard In My Life""",Labor
"Sunday, December 21, 1958","""Ours Talks""",Cold War
"Monday, December 22, 1958","""Wait Here, Please""",Congress
"Tuesday, December 23, 1958","""Please -- Let's Avoid Any Dissension""",Congress
"Wednesday, December 24, 1958","""Got To Keep Things Balanced, You Know""",Eisenhower Administration
"Thursday, December 25, 1958",[Untitled],Christmas
"Friday, December 26, 1958","""Might As Well Start Things Off With A Bang""",Congress
"Sunday, December 28, 1958",The Ugly Duckling,Cold War
"Monday, December 29, 1958","""Heavens-To-Betsy""",Statehood
"Tuesday, December 30, 1958","""The Rebel Claims Are Greatly Exaggerated, And That Shooting You Hear Is Just Static""",Cuba
"Wednesday, December 31, 1958","""Don't You See? If We Ask For All This, They Might Settle For Just Letting Us Continue To Operate""",Congress
"Thursday, January 1, 1959","""I'm Constantly On Guard Against You Spenders""",Eisenhower Administration
"Friday, January 2, 1959","""Do You Think I've Quite Got Him?""",Eisenhower Administration
"Sunday, January 4, 1959","""They Decided To Come Here For Vacations -- Now Move On And Stop Asking Questions""",Cuba
"Monday, January 5, 1959","""The Idea Is To Set It Up In A Quick Change, See?""",Congress
"Tuesday, January 6, 1959","""Step Into My Office, Lad, And Tell Me All About It""",Congress
"Wednesday, January 7, 1959","""Don't Go Getting Any Ideas, Son""",Congress
"Thursday, January 8, 1959","""10ў - 9ў - 8ў - 7ў - 6ў - 5ў - 4ў -""",Eisenhower Administration
"Friday, January 9, 1959","""Gambling Isn't Being Entirely Eliminated""",Cuba
"Sunday, January 11, 1959","""By The Way, Did You Get My Message Of November 4?""",Eisenhower Administration
"Monday, January 12, 1959","""Anybody Want To Argue About Other Rules?""",Senate
"Tuesday, January 13, 1959","""Can't We Do Something More Than Stand Firm?""",Eisenhower Administration
"Wednesday, January 14, 1959","""And Then After The Budget Is Balanced He Says Maybe There'll Be A Tax Cut""",Eisenhower Administration
"Thursday, January 15, 1959","""Anything Special You Were Looking For?""",Soviet Union
"Friday, January 16, 1959","""Sam, A Lot Of Those Liberals Don't Realize How Well We Treat These Folks Down Here""",Congress
"Sunday, January 18, 1959","""If You Ask Me, They're Acting Like a Bunch of Communists""",Soviet Union
"Monday, January 19, 1959","""Go Ahead, Mister -- You Ain't Bothering Us At All""",Eisenhower Administration
"Tuesday, January 20, 1959","""Why Don't You End The Cold War?""",Cold War
"Wednesday, January 21, 1959","""Well, At This Price We Had To Sacrifice Something""",Eisenhower Administration
"Thursday, January 22, 1959","""What Do We Do Now, Samson?""",Civil Rights
"Friday, January 23, 1959","""Be Glad He's Hibernating -- There's Been Talk That He Was Dead""",Republican Party
"Sunday, January 25, 1959","""We May Have Some Double-Headers""",Cuba
"Monday, January 26, 1959","""Can't Take Any Chance of Being Blown Overboard""",Eisenhower Administration
"Tuesday, January 27, 1959","""How Soon Do You Think They'll Collapse?""",Cold War
"Wednesday, January 28, 1959","""We Have To Consider The -- Uh -- National Security""",Eisenhower Administration
"Thursday, January 29, 1959","""I Was Just Telling Ike The Other Day, We've Got To Keep Watching That Budget""",Eisenhower Administration
"Friday, January 30, 1959","""It Was a Breeze""",Congress
"Sunday, February 1, 1959","""Well, That Takes Care Of That""",Eisenhower Administration
"Monday, February 2, 1959","""What Do You Mean, 'Where's The Space Ship?' You Trying To Spoil A Good Story?""",Eisenhower Administration
"Tuesday, February 3, 1959","""Don't Let Anyone Say We're Not Making Progress""",Eisenhower Administration
"Wednesday, February 4, 1959","""That's What Happens When You Rely On Ordinary People To Defy Law And Order""",Racism
