Date of Cartoon,Title,Major Subject
"Sunday, February 10, 1946","""Still Grasping In His Hand Of Ice That Banner With The Strange Device--""",Truman Administration
"Monday, February 11, 1946","""I'm Back, Uncle Harry""",Truman Administration
"Tuesday, February 12, 1946","""You're Telling Me, It's Hard To Get Anything!""",Truman Administration
"Wednesday, February 13, 1946",A Shot At The Big Boy,Truman Administration
"Thursday, February 14, 1946","Mr. Truman Could Be Mistaken, Too",Truman Administration
"Friday, February 15, 1946",The Gaucho Serenade,Argentina
"Saturday, February 16, 1946","""We'll Try It Again, Fellas--One Scale Higher""",Truman Administration
"Sunday, February 17, 1946","American, All The Way Back",Congress
"Monday, February 18, 1946","""Have A Hard Month At The Office, Dear?""",United Nations
"Tuesday, February 19, 1946","""Any Time You're Ready, Mister""",Truman Administration
"Wednesday, February 20, 1946",There's No Secret About This Bomb,Truman Administration
"Thursday, February 21, 1946","""The Way I Get It, There Was No Alert On The Morning Of Dec. 7, 1941""",Congress
"Friday, February 22, 1946","""Get Back In There--You Might Catch Cold!""",Senate
"Saturday, February 23, 1946",The Mountain's Labor,Congress
"Sunday, February 24, 1946","""Are You Having A Hard Time Getting Butter?""",World Stability
"Monday, February 25, 1946",The Hills Of Home,US Economy
"Tuesday, February 26, 1946","""Could You Start On This Room Right Away?""",Congress
"Wednesday, February 27, 1946","""You And Your Newfangled Ideas!""",Senate
"Thursday, February 28, 1946","""I'll Be Glad When Atomic Energy Comes In!""",Truman Administration
"Friday, March 1, 1946","""Well, The Americans Sure Liberated Me""",Japan
"Saturday, March 2, 1946","""Tell Me Again How It Was In The Army, Daddy""",US Economy
"Sunday, March 3, 1946",The Leaning Tower Of Madrid,Spain
"Monday, March 4, 1946","""Sieg Heil!""",World Stability
"Tuesday, March 5, 1946",Strange Idol,Congress
"Wednesday, March 6, 1946",A Choice of Genii,Truman Administration
"Thursday, March 7, 1946",1946 Trade Balance,Senate
"Friday, March 8, 1946",Obbligato On The Musical Saw,Truman Administration
"Saturday, March 9, 1946","""Well, It's Certainly Colorful, Winston",Great Britain
"Sunday, March 10, 1946",Still Life Drawing,World Stability
"Monday, March 11, 1946","""My! My! What Do You Know About That!""",Argentina
"Tuesday, March 12, 1946","""Boy--Look At That Curtain Around Russia!""",Truman Administration
"Wednesday, March 13, 1946",Lucky You!',Truman Administration
"Thursday, March 14, 1946","""I Got Previous Experience With This Stuff""",Truman Administration
"Friday, March 15, 1946",The Oarsmen,United Nations
"Saturday, March 16, 1946",The Big Atomic Energy Test,Congress
"Sunday, March 17, 1946","""Get Out Of There, All Of You!""",Truman Administration
"Monday, March 18, 1946",Dangerous Chain Reaction,Truman Administration
"Tuesday, March 19, 1946",Arrivals In India,India
"Wednesday, March 20, 1946",So?',Truman Administration
"Thursday, March 21, 1946","""You Sure You Feel All Right, Grandmaw?""",Truman Administration
"Friday, March 22, 1946","""Wait A Minute--Why Should We Help This Guy?""",Truman Administration
"Saturday, March 23, 1946","""Shall We Say Grace?""",Post-Second World War World Order
"Sunday, March 24, 1946",Exploring The Temple Of Brass,Truman Administration
"Monday, March 25, 1946",The Foundling,United Nations
"Tuesday, March 26, 1946","""No, Boy--No""",Truman Administration
"Wednesday, March 27, 1946",Relief In Sight,Post-Second World War World Order
"Thursday, March 28, 1946","""Good Heavens! What's This?""",Congress
"Friday, March 29, 1946",Nobody Has Walked Out On This,World Stability
"Saturday, March 30, 1946",Springtime,US Economy
"Sunday, March 31, 1946",The Land Of Plenty,Post-Second World War World Order
"Monday, April 1, 1946",Mr. Gromyko's Seat At The Table,United Nations
"Tuesday, April 2, 1946","""Holding The Line""",Congress
"Wednesday, April 3, 1946",Unemployed War Veteran,World Stability
"Thursday, April 4, 1946",500 Million Facing This Tidal Wave,Post-Second World War World Order
"Friday, April 5, 1946","""I Ain't Left Yet""",World Stability
"Saturday, April 6, 1946","""Oops!""",Senate
"Sunday, April 7, 1946",[Untitled],Political Representation
"Monday, April 8, 1946","""That's A Joke, Son--You Don't Seem To Get It""",Congress
"Tuesday, April 9, 1946","""Got Any Idea How It Happened?""",United Nations
"Wednesday, April 10, 1946",Suspicious Character,Congress
"Thursday, April 11, 1946","""Steady, Old Boy--Let's Take It Easy""",Senate
"Friday, April 12, 1946","""Are You Sure You Didn't Miss Anything?""",Truman Administration
"Saturday, April 13, 1946","""How's It Going In Your Department, Jack?""",United Nations
"Sunday, April 14, 1946",Shopping Companion For The Next 90 Days,Post-Second World War World Order
"Monday, April 15, 1946","""Let's Ask Him In A Nice Way, Once More""",Argentina
"Tuesday, April 16, 1946",Easter Season,Congress
"Wednesday, April 17, 1946","""How Much a Pound Are You Worth?""",Post-Second World War World Order
"Thursday, April 18, 1946","""Shall We Synchronize Calendars?""",Congress
"Friday, April 19, 1946","""Well Done, Thou Good And Faithful Servant!""",Congress
"Saturday, April 20, 1946","""I Do My Best To Save Them""",Congress
"Sunday, April 21, 1946","""The Time For Action Is Here!""",Post-Second World War World Order
"Monday, April 22, 1946",A Little Peace And Quiet,Truman Administration
"Tuesday, April 23, 1946","""Maybe We Ought To Think This Over A Little More""",Congress
"Wednesday, April 24, 1946",Springtime In Paris,Post-Second World War World Order
"Thursday, April 25, 1946","""I Ain't Got Any Traditions""",Truman Administration
"Friday, April 26, 1946",Interesting Situation,Congress
"Saturday, April 27, 1946","""I've Started My Harvesting Already, Neighbor""",Post-Second World War World Order
"Sunday, April 28, 1946","""Excuse Me--Do You Know When I Can Catch A Train?""",Congress
"Monday, April 29, 1946",Anti-Trade Winds,Congress
"Tuesday, April 30, 1946","""Welcome Back!""",Truman Administration
"Wednesday, May 1, 1946",Little Boy Blue,Senate
"Thursday, May 2, 1946",The Lecturer,Post-Second World War World Order
"Friday, May 3, 1946",Watching The Ticker,Congress
"Saturday, May 4, 1946",Tick Tock--Tick Tock,US Economy
"Sunday, May 5, 1946",Grains,Post-Second World War World Order
"Monday, May 6, 1946",Heavy Thinking,Supreme Court
"Tuesday, May 7, 1946","""You Fellows Keeping Your Eyes On The Ball?""",Post-Second World War World Order
"Wednesday, May 8, 1946",The Overflowing Cup,Post-Second World War World Order
"Thursday, May 9, 1946",The Lights Go Out Again,Labor
"Friday, May 10, 1946","""Beautiful! Beautiful!""",Post-Second World War World Order
"Saturday, May 11, 1946","""Help! Save Me From This Man!""",US Economy
"Sunday, May 12, 1946","""Oh, Are You Still Kicking Around?""",Italy
"Monday, May 13, 1946",Extension,Congress
"Tuesday, May 14, 1946","""Well, What Country Are We Living In Today?""",Post-Second World War World Order
"Wednesday, May 15, 1946","""I Can't Make You Ration, But My Children Can""",World Stability
"Thursday, May 16, 1946","""Guess What From Paris, Chief!""",Truman Administration
"Friday, May 17, 1946",Quite A Successful Strike,Labor
"Saturday, May 18, 1946","""Listen--Do You Hear A Ticking Noise?""",Congress
"Sunday, May 19, 1946","""What If He Should Get To Liking It?""",Truman Administration
"Monday, May 20, 1946",The Beautiful Postwar World,Post-Second World War World Order
"Tuesday, May 21, 1946","""Well, Judge--Here We Are Again""",United Nations
"Wednesday, May 22, 1946",Down The Sewer,Congress
"Thursday, May 23, 1946","""See--I Can Get Things, Too!""",Congress
"Friday, May 24, 1946","""Don't You Read The Papers, Son?""",Post-Second World War World Order
"Saturday, May 25, 1946",Tie-Up,Labor
"Sunday, May 26, 1946",Travel By Ox Cart,Labor
"Monday, May 27, 1946","""And Now, When Do We Get Tough About These?""",Truman Administration
"Tuesday, May 28, 1946",No Accounting For Tastes,Congress
"Wednesday, May 29, 1946",No Lack of Progress Here,World Stability
"Thursday, May 30, 1946",As The See Each Other,World Stability
"Friday, May 31, 1946",The Other Big Four,World Stability
"Saturday, June 1, 1946","""Listen Close -- You May Not Hear The Next One""",World Stability
"Sunday, June 2, 1946",The Senate Banking Committee Votes For The Pig,Senate
"Monday, June 3, 1946","""In A Way, He Looks A Little Familiar""",United Nations
"Tuesday, June 4, 1946",Cooling-Off Period,Congress
"Wednesday, June 5, 1946",Fourth of July Firecracker,Congress
"Thursday, June 6, 1946","""Fancy Meeting You Here""",Post-Second World War World Order
"Friday, June 7, 1946",Gordian Knot,Truman Administration
"Saturday, June 8, 1946",June Is Busting Out All Over,Truman Administration
"Sunday, June 9, 1946","""What -- No Bread?""",US Economy
"Monday, June 10, 1946",Stepchild,Congress
"Tuesday, June 11, 1946",On The Hook,US Economy
"Wednesday, June 12, 1946",[Untitled],Supreme Court
"Thursday, June 13, 1946",Christmas In July,US Economy
"Friday, June 14, 1946",One More Try,World Stability
"Saturday, June 15, 1946","""What The Hell, Eh Kid?""",Congress
"Sunday, June 16, 1946",Looking It In The Eye,United Nations
"Monday, June 17, 1946",Cramming,Congress
"Tuesday, June 18, 1946",Into Each Life Some Rain Must Fall,Truman Administration
"Wednesday, June 19, 1946",Part Of The Crippling Job,Congress
"Thursday, June 20, 1946",Pandora,Congress
"Friday, June 21, 1946","""What's The Matter -- Don't You Trust Me?""",Post-Second World War World Order
"Saturday, June 22, 1946","Simple Simon Went Afishing, For To Catch A Whale; All The Water He Could Find Was In His Mother's Pail",Congress
"Sunday, June 23, 1946",[Untitled],Congress
"Monday, June 24, 1946","""Ask Not For Whom The Bell Tolls; It Tolls For Thee""",Congress
"Tuesday, June 25, 1946",What Is So Rare As A Day In June?,US Economy
"Wednesday, June 26, 1946","""Throw Him A Bone""",Congress
"Thursday, June 27, 1946","""Anything Your Little Heart Desires""",Congress
"Friday, June 28, 1946","""Everything's Going Smoothly Here At Bikini ...""",World Stability
"Saturday, June 29, 1946",Torchlight Parade,"Congressional Elections, 1946"
"Sunday, June 30, 1946","""You Been Treating Our Newspaper Men Nice?""",Congress
"Monday, July 1, 1946","""Subpoena This Guy Hancock!""",Second Red Scare
"Tuesday, July 2, 1946",The Postman Always Rings Twice,Congress
"Wednesday, July 3, 1946",Only A Bird In A Gilded Cage,Congress
"Thursday, July 4, 1946","""-- And I Hope You Do Better Than I'm Doing""",World Stability
"Friday, July 5, 1946","Look Down, Look Down That Lonesome Road Before You Travel On",Congress
"Saturday, July 6, 1946",The Bilbo Election Case,Senate
"Sunday, July 7, 1946","""Pst!""",Congress
"Monday, July 8, 1946","""I Don't Like Attlee's Palestine Policy""",Congress
"Tuesday, July 9, 1946","""Tut, Tut -- You're Hollering Before You're Hurt""",Congress
"Wednesday, July 10, 1946",Isolation,"Congressional Elections, 1946"
"Thursday, July 11, 1946","""There's Something About This That's Wrong""",Senate
"Friday, July 12, 1946","""Don't Get Excited -- We're Just Blowing Up The Dam""",Congress
"Saturday, July 13, 1946",Joint Committee To Hold Back The Dawn,Senate
"Sunday, July 14, 1946","""I Ain't Tired""",US Economy
"Monday, July 15, 1946","""Tote Dat Barge! Lift Dat Bale!""",Congress
"Tuesday, July 16, 1946",[Untitled],Senate
"Wednesday, July 17, 1946",Wasn't Something Like That Tried Once Before,Post-Second World War World Order
"Thursday, July 18, 1946","""Make 'm Give You A Good One, Harry!""",Truman Administration
"Friday, July 19, 1946","""Thanks, Mr. Arnall! Thanks For Everything!""",State Gubernatorial Elections
"Saturday, July 20, 1946",Blackout,Congress
"Sunday, July 21, 1946",The Old Swimmin' Hole,Truman Administration
"Monday, July 22, 1946",Ready For A Quick Getaway,Congress
"Tuesday, July 23, 1946","""Hurry! Maintain American Superiority!""",Truman Administration
"Wednesday, July 24, 1946",Smugglers' Cove,Congress
"Thursday, July 25, 1946","""You Guys Are Dangerous!""",World Stability
"Friday, July 26, 1946",See How They Ran,"Congressional Elections, 1946"
"Saturday, July 27, 1946","""Happy Landings!""",Post-Second World War World Order
"Sunday, July 28, 1946",The War Goes On,Congress
"Monday, July 29, 1946","""It's Okay -- Ol' Gene Will Be Back In Soon""",White on Black Violence
"Tuesday, July 30, 1946",The First Freedom,Post-Second World War World Order
"Wednesday, July 31, 1946",Pioneers! O Pioneers!,Congress
"Thursday, August 1, 1946",Space Platform,Congress
"Friday, August 2, 1946",[Untitled],Congress
"Saturday, August 3, 1946",[Untitled],World Stability
"Sunday, August 4, 1946",The Lion's Share,Post-Second World War World Order
"Monday, August 5, 1946",Meeting The Trains From Washington,Congress
"Tuesday, August 6, 1946","""Darling, What's Happening To Us?""",Post-Second World War World Order
"Wednesday, August 7, 1946","""Never Touched Me!""",World Stability
"Thursday, August 8, 1946",Good Vacation,"Congressional Elections, 1946"
"Friday, August 9, 1946","Not Peace, But A Sword",World Stability
"Saturday, August 10, 1946",On Wings Of Love,US Economy
"Sunday, August 11, 1946","""Any Prospect Within The Next Year Or So?""",United Nations
"Monday, August 12, 1946",Outside The Big Tent,United Nations
"Tuesday, August 13, 1946",[Untitled],World Stability
"Wednesday, August 14, 1946","""Some Pickup, Eh?""",US Economy
"Thursday, August 15, 1946",The Bird That Got Into A Badminton Game,Post-Second World War World Order
"Friday, August 16, 1946",Reconversion,Automotive Industry
"Saturday, August 17, 1946","""Saludos!""",Truman Administration
"Sunday, August 18, 1946","""Hot Stuff Comin' Up!""",Truman Administration
"Monday, August 19, 1946",All Quiet Along The Potomac,Federal Government
"Tuesday, August 20, 1946",Smashing The Precedent,Post-Second World War World Order
"Wednesday, August 21, 1946",Race,Post-Second World War World Order
"Thursday, August 22, 1946",Sacred Cow,US Economy
"Friday, August 23, 1946",Plane That Must Not Be Forced Down,United Nations
"Saturday, August 24, 1946",Roundup Time,Truman Administration
"Sunday, August 25, 1946",The Postwar Model,Post-Second World War World Order
"Monday, August 26, 1946","""Quit Follering Me!""",Congress
"Tuesday, August 27, 1946","""Pardon Me, Mister -- Do You Know What Time It Is?""",World Stability
"Wednesday, August 28, 1946","""One More War And Then We Take Over!""",World Stability
"Thursday, August 29, 1946","""Okay, Fellows -- We're In!""",Post-Second World War World Order
"Friday, August 30, 1946",Just Like The Good Old Days,Truman Administration
"Saturday, August 31, 1946","""Nobody Can Say We Believe In Being Brutal""",United States Armed Forces
"Sunday, September 1, 1946","""Too Bad, But We're Pretty Exclusive, You Know""",United Nations
"Monday, September 2, 1946",Greased Pig,US Economy
"Tuesday, September 3, 1946","""Ah, There's Nothing Like The Open Sea!""",United Nations
"Wednesday, September 4, 1946","""Should We Cheer Or Something?""",Post-Second World War World Order
"Thursday, September 5, 1946","""There's A Bear Up There!""",US Economy
"Friday, September 6, 1946","""Halloooo""",Post-Second World War World Order
"Saturday, September 7, 1946",The Big One That Didn't Go Away,Labor
"Sunday, September 8, 1946",Mr. Bevin Is Approaching An Agreement With Himself,Post-Second World War World Order
"Monday, September 9, 1946","""Come Out, Come Out, Wherever You Are""",Congress
"Tuesday, September 10, 1946",Dropping The Pilot,US Economy
"Wednesday, September 11, 1946","""Hit An Air Pocket, Brother?""",US Economy
"Thursday, September 12, 1946",Sequel,Second World War
"Friday, September 13, 1946",The Old Man Of The Sea,US Economy
"Saturday, September 14, 1946",The Water's Fine,Post-Second World War World Order
"Sunday, September 15, 1946",Woman's Work Is Never Done,Truman Administration
"Monday, September 16, 1946",Great Sport While It Lasted,Labor
"Tuesday, September 17, 1946","""Jimmy, He Didn't Tell Me It Was Loaded""",Truman Administration
"Wednesday, September 18, 1946","""Have Another Lump, Chump""",US Economy
"Thursday, September 19, 1946",The Thinker,Truman Administration
"Friday, September 20, 1946","""Clumsy Oaf!""",World Stability
"Saturday, September 21, 1946","""Now, About The Domestic Situation --""",Truman Administration
"Sunday, September 22, 1946","""The Face Is Familiar""",US Economy
"Monday, September 23, 1946","""Follow That Plane!""",Truman Administration
"Tuesday, September 24, 1946","""Here's A Place Advertised In Geneva""",United Nations
"Wednesday, September 25, 1946",Hibernating,US Economy
"Thursday, September 26, 1946",Voices Outside,World Stability
"Friday, September 27, 1946",School Days,"Congressional Elections, 1946"
"Saturday, September 28, 1946",No Shortage Of This Livestock,US Economy
"Sunday, September 29, 1946","""We Agreed Then, That There Is Such An Animal""",World Stability
"Monday, September 30, 1946","""Ha, Ha -- See? I'm Laughing""",Senate
"Tuesday, October 1, 1946","""I Saved The Last Dance For You""",Second World War
"Wednesday, October 2, 1946","""Surprise! They're Not Flower Pots At All!""",Truman Administration
"Thursday, October 3, 1946",Geography On The Half Shell,United States Armed Forces
"Friday, October 4, 1946","""Listen -- Don't Try To Tell Me How To Play!""",United Nations
"Saturday, October 5, 1946","""You Looking For A Shortage, Mister?""",Congress
"Sunday, October 6, 1946","""Most Unfortunate""",Post-Second World War World Order
"Monday, October 7, 1946","""Can't Read This Next Line?""",Truman Administration
"Tuesday, October 8, 1946","""Moo""",US Economy
"Wednesday, October 9, 1946","""What Happened To The One We Used To Have?""",Congress
"Thursday, October 10, 1946","""Ahoy! Seen Anything Of A New World?""",United Nations
"Friday, October 11, 1946",Revolving Around A Meat Ball,"Congressional Elections, 1946"
"Saturday, October 12, 1946","""Poor Devil!""",US Economy
"Sunday, October 13, 1946","""You See, Friend? I Told You Your Watch Was No Good""",Senate
"Monday, October 14, 1946",Coming In On A Wing And A Prayer,Post-Second World War World Order
"Tuesday, October 15, 1946","Well, I Can Remember When We Had Soup Lines'",US Economy
"Wednesday, October 16, 1946",Raw Meat,Truman Administration
"Thursday, October 17, 1946",Opening The Slaughtering Season,US Economy
"Friday, October 18, 1946","""Hello -- Arbitration Board?""",Labor
"Saturday, October 19, 1946","""He's Taking An Awful Beating, Folks""","Congressional Elections, 1946"
"Sunday, October 20, 1946","""Oops -- Beg Your Pardon""",Truman Administration
"Monday, October 21, 1946",And Now The Dessert,US Economy
"Tuesday, October 22, 1946","Massa's In De Cold, Cold Ground'",US Economy
"Wednesday, October 23, 1946",The Iceman Cometh,United Nations
"Thursday, October 24, 1946","""See How Big I Am?""",Labor
"Friday, October 25, 1946",[Untitled],United Nations
"Saturday, October 26, 1946","""Got Room For A Little Pat On That Back, Soldier?""",Truman Administration
"Sunday, October 27, 1946",Twin Wolves At The Door,US Economy
"Monday, October 28, 1946",The Melancholy Days Are Come,"Congressional Elections, 1946"
"Tuesday, October 29, 1946",Pinocchio's Chance To Become A Real Boy,Political Representation
"Wednesday, October 30, 1946",The Mighty Roar In Tennessee,Senate
"Thursday, October 31, 1946",Gold Is Where You Find It,United Nations
"Friday, November 1, 1946","""It'll Take More Than A Ribbon, Mister""",World Stability
"Saturday, November 2, 1946",Present But Not Voting,United Nations
"Sunday, November 3, 1946","East Side, West Side",United Nations
"Monday, November 4, 1946","So You Want To Play Rough, Huh?'",US Economy
"Tuesday, November 5, 1946","""All Out! Everybody Out!""","Congressional Elections, 1946"
"Wednesday, November 6, 1946","""Which Way To The White House, Bud?""","Congressional Elections, 1946"
"Thursday, November 7, 1946","""It's Been Lovely -- This Is Where I Say Good Night""","Congressional Elections, 1946"
"Friday, November 8, 1946","""We've Got To Cooperate -- See?""","Congressional Elections, 1946"
"Saturday, November 9, 1946","""You Planning To Spend All Your Time Back There?""",Congress
"Sunday, November 10, 1946",No Change In The Membership Of These Houses,Congress
"Monday, November 11, 1946","""Remember How We Built These During The War?""",Post-Second World War World Order
"Tuesday, November 12, 1946",[Untitled],Republican Party
"Wednesday, November 13, 1946","""So Far, So Good""",Congress
"Thursday, November 14, 1946","""Now, Here's A Nice Number --""",US Economy
"Friday, November 15, 1946","""How About A Little Disarmament Among Ourselves?""",Truman Administration
"Saturday, November 16, 1946",[Untitled],House Un-American Activities Committee
"Sunday, November 17, 1946","""We'll Start Bringing These Down Right Away""",Congress
"Monday, November 18, 1946","""It Ain't Santa Claus""",Labor
"Tuesday, November 19, 1946","""And In This Corner --""",Labor
"Wednesday, November 20, 1946",Consultation,United Nations
"Thursday, November 21, 1946","""There Must Be Something I can Do About This""",Labor
"Friday, November 22, 1946","Double, Double Toil And Trouble; Fire Burn And Cauldron Bubble",Labor
"Saturday, November 23, 1946",The Bloodhounds,"Congressional Elections, 1946"
"Sunday, November 24, 1946",Curtain Raiser,United Nations
"Monday, November 25, 1946","""What News From The Coal Front?""",Labor
"Tuesday, November 26, 1946",Anything For A Laugh,Truman Administration
"Wednesday, November 27, 1946",Can You Top This?,Congress
"Thursday, November 28, 1946",The Pit And The Pendulum,US Economy
"Friday, November 29, 1946","""Well, Now -- Let's Have A Look At You""",Congress
"Saturday, November 30, 1946",[Untitled],Truman Administration
"Sunday, December 1, 1946",Coal Cellar,US Economy
"Monday, December 2, 1946","""Your Ears Burning, Too?""",World Stability
"Tuesday, December 3, 1946","""All About For The Good Old Days!""",US Economy
"Wednesday, December 4, 1946","""That Vein About All Worked Out, Boss?""",Labor
"Thursday, December 5, 1946",[Untitled],World Stability
"Friday, December 6, 1946","""Pack Up Your Troubles In Your Old Kit Bag And Smile -- Smile -- Smile""",Truman Administration
"Saturday, December 7, 1946",New Broom,House Un-American Activities Committee
"Sunday, December 8, 1946",Still To Be Weighed,Supreme Court
"Monday, December 9, 1946",Santa's Workshop,World Stability
"Tuesday, December 10, 1946","""Maybe If You Took An Interest In Them --""",Labor
"Wednesday, December 11, 1946","""This Year It's For A Good Deed""",Labor
"Thursday, December 12, 1946","""I Just Love Harmony""",Congress
"Friday, December 13, 1946","""What Are You Kicking About? You've Gone Up Too""",US Economy
"Saturday, December 14, 1946","""Gee -- A Home Of My Own!""",United Nations
"Sunday, December 15, 1946","""How's That For Beating Him To The Punch?""",Truman Administration
"Monday, December 16, 1946",Winter Heat,Senate
"Tuesday, December 17, 1946","""And Me Such A Sensitive Soul""",United Nations
"Wednesday, December 18, 1946","""God Rest You Merry, Gentlemen""",United Nations
"Thursday, December 19, 1946","""Well, Well -- Another Miracle!""",Senate
"Friday, December 20, 1946","""The Old Bus Is Good Enough For My Holiday Calls""",Automotive Industry
"Saturday, December 21, 1946","""What's Cooking?""",World Stability
"Sunday, December 22, 1946","""One At A Time, Kiddies -- One At A Time, Dammit!""",Congress
"Monday, December 23, 1946","""Bread Enough And To Spare""",US Economy
"Tuesday, December 24, 1946","""Very Well, General -- We'll Meet Again At Four Bells""",Truman Administration
"Wednesday, December 25, 1946","""Presto!""",Christmas
"Thursday, December 26, 1946", -- Can Spring Be Far Behind?,World Stability
"Friday, December 27, 1946","""And Who's Giving Who Away, Now?""",Senate
"Saturday, December 28, 1946","""Happy New Year!""",Congress
"Sunday, December 29, 1946",Fat Cat,US Economy
"Monday, December 30, 1946",Nose To The Grindstone,Congress
"Tuesday, December 31, 1946","""Who's Your Little Friend?""",Congress
"Wednesday, January 1, 1947",Congressional Calendar,"Congressional Elections, 1948"
"Thursday, January 2, 1947",Nervous Cats,US Economy
"Friday, January 3, 1947",Bad Apple,Senate
"Saturday, January 4, 1947","""Something For Everybody!""",US Economy
"Sunday, January 5, 1947",State Of The Union,Truman Administration
"Monday, January 6, 1947","""Wish We Could Get Control Of A House""",Congress
"Tuesday, January 7, 1947","""Where Did You Get That Pink One?""",Republican Party
"Wednesday, January 8, 1947","""Nobody Can Say We're Not Meeting Him Half Way""",Congress
"Thursday, January 9, 1947",Peace -- It's Wonderful,Truman Administration
"Friday, January 10, 1947","""You Can't Tell The Players Without A Scorecard""",Truman Administration
"Saturday, January 11, 1947","""I Don't Feel Anything Yet""",US Economy
"Sunday, January 12, 1947","""Naive, Isn't He""",Truman Administration
"Monday, January 13, 1947","""Darling, These Are Some Old Friends Of Mine""",Congress
"Tuesday, January 14, 1947","""Now, In The Handwriting On This Wall, We Observe --""",US Economy
"Wednesday, January 15, 1947",Portal To Portal,Labor
"Thursday, January 16, 1947","""Attention, Subjects!""",Georgia
"Friday, January 17, 1947",Pomp And Circumstance,Congress
"Saturday, January 18, 1947","""We Don't Want None Of Your Outside Interference""",Georgia
"Sunday, January 19, 1947","""I Said, 'I Hear You're Coming Down!'""",US Economy
"Monday, January 20, 1947","""I Understand You're Going To Cut Me To Ribbons""",Congress
"Tuesday, January 21, 1947","""Well, Here We Are Again""",Truman Administration
"Wednesday, January 22, 1947","""You Too, Nosey!""",Georgia
"Thursday, January 23, 1947",Bid For Unity At The Lower Level,Truman Administration
"Friday, January 24, 1947","""Just Some Slight Tokens Of My Affection, Dear""",Congress
"Saturday, January 25, 1947","""Remember, Papa? -- The Apple""",Congress
"Sunday, January 26, 1947",Hollywood Stuff,House Un-American Activities Committee
"Monday, January 27, 1947",The Razor's Edge,Congress
"Tuesday, January 28, 1947","""Here I Go Again, Boss""",Congress
"Wednesday, January 29, 1947",Another Bomb,Truman Administration
"Thursday, January 30, 1947","That's All, Brother",Truman Administration
"Friday, January 31, 1947","""Right Down The Avenue -- Ask For Mr. Taft""",Truman Administration
"Saturday, February 1, 1947","""Okay, Kid -- Now All You've Got To Do Is Make Good""",Congress
"Sunday, February 2, 1947","""That's A Nice, Round Number""",Congress
"Monday, February 3, 1947","""Forward!""",Great Britain
"Tuesday, February 4, 1947","""You See, You Both Get The Same Thing""",Congress
"Wednesday, February 5, 1947","""Don't Mind Me -- Just Go Right On Talking""",World Stability
"Thursday, February 6, 1947","""Lucky Boy! We're Going To Let You Work For Us""",Congress
"Friday, February 7, 1947",In The Congressional Waiting Room,Congress
"Saturday, February 8, 1947","""You're Cutting A Nice Figure, Harry""","Presidential Election, 1948"
"Sunday, February 9, 1947","""Quit Your Shoving!""",United Nations
"Monday, February 10, 1947",Postwar Blitz,Europe
"Tuesday, February 11, 1947","""Well, It's Not Entirely Closed""",Labor
