Date of Cartoon,Title,Major Subject
"Sunday, February 5, 1950","""Yow!""",Presidential Elections--Process
"Monday, February 6, 1950","""Come And Get It""",Truman Administration
"Tuesday, February 7, 1950","""Happy Now?""",Labor
"Wednesday, February 8, 1950","""Well, We Can Still Call Up To Ask For Coal, Anyhow""",Labor
"Thursday, February 9, 1950","""There -- Now I Look Dandy""",Senate
"Friday, February 10, 1950","""I Never Got My Box Lunch""",Republican Party
"Sunday, February 12, 1950","""Let's Watch The Little Guys, Just For Laughs""",Congress
"Monday, February 13, 1950","""Daddy!""",Congress
"Tuesday, February 14, 1950","""Don't Worry About Nazis. Get Those Damn Liberals""",Soviet Union
"Wednesday, February 15, 1950","""Father, Dear Father --""",Congress
"Thursday, February 16, 1950",The Big Push,Cold War
"Friday, February 17, 1950","""A Strange Case, Doctor""",Congress
"Sunday, February 19, 1950","""For A Moment We Thought You Had Deserted Us""","Congressional Elections, 1950"
"Monday, February 20, 1950","""This'll Scare Hell Out Of 'Em""",Cold War
"Tuesday, February 21, 1950","""Damocles Had Nothing On Me""",US Economy
"Wednesday, February 22, 1950","""Seem To You There's Something A Little Odd Here?""",Senate
"Thursday, February 23, 1950",Boom Town,Congress
"Friday, February 24, 1950","""'Tis But Thy Name That Is My Enemy; ... O! Be Some Other Name: What's In A Name?""",Republican Party
"Saturday, February 25, 1950",[Untitled],Great Britain
"Sunday, February 26, 1950",Political Pandora,Congress
"Monday, February 27, 1950","""Well, Here Goes""",Great Britain
"Tuesday, February 28, 1950","""A Master Stroke, Chief -- This'll Drive 'Em Nuts""",Cold War
"Wednesday, March 1, 1950","""Some Day We Thinkum Up Better System""",Europe
"Thursday, March 2, 1950","""To The Rear, March!""",Congress
"Friday, March 3, 1950","""Stand Up Like An Elephant""",Republican Party
"Saturday, March 4, 1950","""You Want To Keep On Living In This Apartment, Bub?""",Senate
"Sunday, March 5, 1950",Coal Is Where You Find It,Labor
"Monday, March 6, 1950",H-For-Hysteria Bomb,Congress
"Tuesday, March 7, 1950","""And What Supports Atlas?""",Congress
"Wednesday, March 8, 1950","""A Left -- And A Right -- And Another Left --""",France
"Thursday, March 9, 1950","""Here We Are Again""",Europe
"Friday, March 10, 1950","""Hey -- You're Cramping My Style""",Anti-Communism
"Sunday, March 12, 1950","""Do We Still See Him?""",United Nations
"Monday, March 13, 1950","""Step Outside And Say That""",Anti-Communism
"Tuesday, March 14, 1950",Cinderella,Political Representation
"Wednesday, March 15, 1950","""We Now Bring You More Late Election Returns""",Soviet Union
"Thursday, March 16, 1950","""Pst -- Is She Gone Yet?""",Congress
"Friday, March 17, 1950","""Well, What Do You Think?""",Belgium
"Sunday, March 19, 1950","""Why Keep It Tied? You Can Just Sit And Watch It""",Congress
"Monday, March 20, 1950","""And Keep An Eye On A Cake My Wife Has In The Oven""",Congress
"Tuesday, March 21, 1950","""Somebody Around Here Is Helping The Commies!""",Truman Administration
"Wednesday, March 22, 1950","""Wolf! Wolf!""",Anti-Communism
"Thursday, March 23, 1950",The 1950 Egg Hunt,Congress
"Friday, March 24, 1950",East Pole - West Pole Expedition,Cold War
"Sunday, March 26, 1950","""I Agree With You 100%""",Congress
"Monday, March 27, 1950","""Say -- What If He Should Use The Veto?""",United Nations
"Tuesday, March 28, 1950","""Nah! I'm Busy Fighting The State Department""",Congress
"Wednesday, March 29, 1950","""You Mean I'm Supposed To Stand On That?""",McCarthyism
"Thursday, March 30, 1950","""I Think I'll Investigate Hollywood's Morals""",Congress
"Friday, March 31, 1950","""We Ain't Giving No Information To No Foreigners""",Cold War
"Saturday, April 1, 1950","""All Those Favoring District Of Columbia Home Rule ...""",Political Representation
"Sunday, April 2, 1950",Easter Parade,Congress
"Monday, April 3, 1950","""You Sure You've Really Got The Heat Turned On?""",Congress
"Tuesday, April 4, 1950","""You Can See What I'm Trying To Save You From""",Congress
"Wednesday, April 5, 1950","""He's Got Kind Of A Commitment To Me Too""",Truman Administration
"Thursday, April 6, 1950","""How Dare You Ask To See My Files?""",Senate
"Friday, April 7, 1950","""Nobody Here But Just Us 100% Americans""",Senate
"Sunday, April 9, 1950","""You Gonna Let Him Campaign In That?""",Truman Administration
"Monday, April 10, 1950",Springtime In Washington,Labor
"Tuesday, April 11, 1950","""What For? They Ain't In The State Department""",Congress
"Tuesday, April 11, 1950","""About What Size Would You Be Interested In?""",Congress
"Wednesday, April 12, 1950","""Say, What Ever Happened To Sea Monsters Anyhow?""",Truman Administration
"Thursday, April 13, 1950","""Nobody Cares Except When I Run A Fever""",Coal Industry
"Friday, April 14, 1950",Economic Curves,US Economy
"Sunday, April 16, 1950","""He Claims To Be An Officer""",Truman Administration
"Monday, April 17, 1950","""You See, That'll Make Him Much Smaller""",Congress
"Tuesday, April 18, 1950",[Untitled],Congress
"Wednesday, April 19, 1950","""Where'd You Get The Idea I Was A Bodyguard?""",World Stability
"Thursday, April 20, 1950","""Follow That Baby Carriage!""",Senate
"Friday, April 21, 1950","""Joe -- Yoo Hoo -- Joe""",McCarthyism
"Saturday, April 22, 1950","""Stop Ganging Up On Me!""",McCarthyism
"Sunday, April 23, 1950","""Want Some Free Literature?""",Cold War
"Monday, April 24, 1950","""Beginning Next Month You'll Only Ring Once""",Congress
"Tuesday, April 25, 1950",Vampire,McCarthyism
"Wednesday, April 26, 1950","""You See? U.S. Senators Themselves Say This""",Cold War
"Thursday, April 27, 1950","""Let's Come To Order, Class. The Next Shift Is Waiting""",Congress
"Friday, April 28, 1950","""Fellows, We've Got To Meet The Competition""",Congress
"Saturday, April 29, 1950","""That's A Kind Of Bi-Partisan Combination Too""",Senate
"Sunday, April 30, 1950","""Ah, I Guess I'll Let It Go""",Senate
"Monday, May 1, 1950","""One More Question. What's Good In The Third Race?""",Congress
"Tuesday, May 2, 1950","""How You Coming With Your Work, Pally?""",Congress
"Wednesday, May 3, 1950","""How About If We Just Set The Bar On The Ground?""","McCarthy, Joseph"
"Thursday, May 4, 1950","""-- From The U.N. -- United Nations -- Remember?""",Cold War
"Friday, May 5, 1950","""My Next Number Will Be --""","McCarthy, Joseph"
"Sunday, May 7, 1950","""Ain't It Terrible How We Lost Out In China?""",Congress
"Monday, May 8, 1950","""We Now Have New And Important Evidence""",Congress
"Tuesday, May 9, 1950","""See What We Mean?""",Congress
"Wednesday, May 10, 1950","""The One In The Front Is From The Communists""",Truman Administration
"Wednesday, May 10, 1950","""Is He Getting Whistles At The Whistle Stops?""",Congress
"Thursday, May 11, 1950",Return Match,Congress
"Friday, May 12, 1950","""How About It, Fellas?""",Cold War
"Sunday, May 14, 1950","""Now We Have Coal To Run Trains, But --""",Labor
"Monday, May 15, 1950","""I Know Leopards -- I Used To Be A Leopard Myself""",Second Red Scare
"Tuesday, May 16, 1950","""This Time We'll Try Melting The Hatchet""",Europe
"Wednesday, May 17, 1950","""Hey! What's Idea Waste S'Much Money On Bread!""",Congress
"Thursday, May 18, 1950","""Come In -- It's Bipartisan""","Congressional Elections, 1950"
"Friday, May 19, 1950","""Honestly, I'd Rather Walk""",Congress
"Saturday, May 20, 1950",Truant,Schools
"Sunday, May 21, 1950",[Untitled],Senate
"Monday, May 22, 1950","""Fire!""",Second Red Scare
"Tuesday, May 23, 1950","""You Know, We Get Just As Old As Anybody""",Congress
"Wednesday, May 24, 1950","""Gotcha Either Way""",Congress
"Thursday, May 25, 1950","""Where There's So Much Smoke There Must Be Fire""",Second Red Scare
"Friday, May 26, 1950","""Will I Rescue You? Tune In Again Next Month""",Congress
"Sunday, May 28, 1950","""Is Joe Stalin Running In All These Elections?""",Congress
"Monday, May 29, 1950","""I'd Like To Ask You A Couple Of Questions""",Congress
"Tuesday, May 30, 1950",Abnormal Psychology,Senate
"Tuesday, May 30, 1950","""How's That For Plugging The Loopholes?""",Congress
"Wednesday, May 31, 1950",Foreign Power Seeking To Influence U.S. Policy,Congress
"Thursday, June 1, 1950",Race,Cold War
"Friday, June 2, 1950","""While You're Talking, Just Tell 'Em To Move Out""",Congress
"Sunday, June 4, 1950","""Go Upstairs And Wash Your Hands""",Republican Party
"Monday, June 5, 1950",Svengali,Cold War
"Tuesday, June 6, 1950","""You Smell Something Burning?""",World Stability
"Wednesday, June 7, 1950","""I'm Your Replacement""",Truman Administration
"Thursday, June 8, 1950",Fly In The Ointment,Truman Administration
"Friday, June 9, 1950","""Of Course, You Know The Account Isn't In My Name""",Congress
"Saturday, June 10, 1950","""Think You Might Use That Nightstick Now?""",Congress
"Sunday, June 11, 1950",Trial-Balloon Season,Congress
"Monday, June 12, 1950","""Well, Now We Can Worry About The Heat Again""",US Economy
"Tuesday, June 13, 1950","""Why Do I Always Let Him Give Me The Chaperone?""",Cold War
"Wednesday, June 14, 1950",Humpty Dumpty,Coal Industry
"Thursday, June 15, 1950","""Shhh! No Fair Asking Questions""",Congress
"Friday, June 16, 1950",Opening The 1950 Channel-Swimming Season,Europe
"Sunday, June 18, 1950","""Oh, Pretty Good -- How Are Things With You?""",Senate
"Monday, June 19, 1950","""Let's Put It This Way -- It's The Place Where Those V-2 Rockets Came From""",Europe
"Tuesday, June 20, 1950",Stranger In The House,Domestic Spying
"Wednesday, June 21, 1950","""How Much Longer Before We Pull Off That Big Job?""",Congress
"Thursday, June 22, 1950","""Don't Be Interrupting Us Lifesavers, Lady""",Congress
"Friday, June 23, 1950","""You Mean You Might Actually Pose For It?""",Cold War
"Sunday, June 25, 1950","""What's Going On? We Must Operate At Once""",Truman Administration
"Monday, June 26, 1950","""Lafayette, We Are Back Again""",World Economy
"Tuesday, June 27, 1950",Casualty,Korean War
"Wednesday, June 28, 1950",By The Horns,Korean War
"Thursday, June 29, 1950","""Anybody Buying Our Line?""",Korean War
"Friday, June 30, 1950","""You Can See How North Korea Was Invaded""",Korean War
"Saturday, July 1, 1950","""Forward!""",Truman Administration
"Sunday, July 2, 1950",7th Fleet,Truman Administration
"Monday, July 3, 1950",Clang -- Clang -- Clang,Truman Administration
"Tuesday, July 4, 1950","""While You're Thinking About The Pacific --""",Truman Administration
"Wednesday, July 5, 1950","""You Weren't Supposed To Be Able To Hit""",Korean War
"Thursday, July 6, 1950","""White Is Black. Black Is White. Night Is Day --""",Cold War
"Friday, July 7, 1950","""Nah! Let's Wait Till They Go Communist, Then Spend A Few Billions Fighting Them""",Truman Administration
"Sunday, July 9, 1950","""Couldn't Do Better With A Hammer And Sickle!""",Congress
"Monday, July 10, 1950","""No Hitching On!""",Korean War
"Tuesday, July 11, 1950","""My Turn Again""",Korean War
"Wednesday, July 12, 1950","""Fighting Back, Eh? You Dirty Warmongers!""",Korean War
"Thursday, July 13, 1950",[Untitled],Korean War
"Friday, July 14, 1950","""By The Way, Have You Signed Our Petition To Outlaw New Weapons?""",Korean War
"Sunday, July 16, 1950",Interest On A Few Dollars Savings,Cold War
"Monday, July 17, 1950",[Untitled],Truman Administration
"Tuesday, July 18, 1950",American Victory On The Home Front,Senate
"Wednesday, July 19, 1950","""This Is An Emergency. We Must Raise Prices At Once""",Korean War
"Thursday, July 20, 1950",Two Lines To Hold,Truman Administration
"Friday, July 21, 1950","""You Guys Trying To Prove It For 'Em?""",Korean War
"Sunday, July 23, 1950",Back In The Box,Korean War
"Monday, July 24, 1950","""You're Helping Me Get In, Huh?""",Korean War
"Tuesday, July 25, 1950","""Can You See Us Now?""",Korean War
"Wednesday, July 26, 1950","""Peace Petition""",Korean War
"Thursday, July 27, 1950",While Congress Considers The Truth Campaign Funds,Korean War
"Friday, July 28, 1950","""I Don't Need You To Protect Me, Junior""",Truman Administration
"Sunday, July 30, 1950","""Please Keep The Aisle Clear. You Never Know""",United Nations
"Monday, July 31, 1950",Peace Progress On The Home Front,Labor
"Tuesday, August 1, 1950","""It's Not A Security Council Seat That Bothers Me""",Cold War
"Wednesday, August 2, 1950","""Now I Sit Back And Wait""",Congress
"Thursday, August 3, 1950","""This Is The Break That Makes Up For Everything!""",Cold War
"Friday, August 4, 1950","""Now You Can Do Some Talking While We Listen""",Senate
"Sunday, August 6, 1950","""We Certainly Need To Get Something Under Control""",Congress
"Monday, August 7, 1950","""Germany For Us Germans! -- Korea For Us Koreans! -- The Philippines For Us Filipinos! --""",Cold War
"Tuesday, August 8, 1950","""I've Shrewdly Managed To Get Him To Join Us""",Senate
"Wednesday, August 9, 1950","""Hand Me Some More Of Those Olive Branches""",Korean War
"Thursday, August 10, 1950","""You Mean Not Use The Ax At All?""",Truman Administration
"Friday, August 11, 1950","""Wait Here, Please. I'll See If He's Under His Desk""",Senate
"Sunday, August 13, 1950","""Of Course You Know He's A Millionaire Reactionary""","Wallace, Henry A"
"Monday, August 14, 1950","""To Give You An Idea How Effective It Is -- We're Beginning To Believe It Ourselves!""",Cold War
"Tuesday, August 15, 1950","""We Don't Want To Economize On Anything That's Really Non-Essential""",Congress
"Wednesday, August 16, 1950",[Untitled],Senate
"Thursday, August 17, 1950","""We Got To Have Controls, Don't We?""",Senate
"Friday, August 18, 1950","""How's That For A Smart Move?""",Cold War
"Saturday, August 19, 1950","""Great Age We Live In, If We Live""",World Stability
"Sunday, August 20, 1950",The Killers,Congress
"Monday, August 21, 1950","""Of Course, He Meant To Include Me""",Truman Administration
"Tuesday, August 22, 1950","""Those Are The Flags Of Various Gangster Mobs And Millionaires. Now Shut Up""",Korean War
"Wednesday, August 23, 1950","""Fine! Just Tie It On Here""",Congress
"Thursday, August 24, 1950","""Other Countries Claim Historic Inventions. Hah! We Invent History""",Korean War
"Friday, August 25, 1950","""Here's A Gun, Pal -- Best Of Luck""",Congress
"Sunday, August 27, 1950",Communist Plot In The Wisconsin Government,"McCarthy, Joseph"
"Monday, August 28, 1950","""Don't You Know There's An Election On?""",Congress
"Tuesday, August 29, 1950",The Big Battle,Truman Administration
"Wednesday, August 30, 1950","""We're Sure Putting In A Lot Of Overtime Lately""",Cold War
"Thursday, August 31, 1950","""I Asked You To Send Over A Good Rat-Trap""",Congress
"Friday, September 1, 1950",September Morn,Cold War
"Sunday, September 3, 1950","""Must Be Quite A Place""",Senate
"Monday, September 4, 1950","""Well, Wise Guy -- Any More Bright Ideas?""",US Economy
"Tuesday, September 5, 1950","""Fight Harder! Fight Harder!""",Cold War
"Wednesday, September 6, 1950","""How Much To Do A Job On A Guy I'm Understudying?""",Anti-Communism
"Thursday, September 7, 1950","""Can't Take Any Chance On Having Varmints Around""",Senate
"Friday, September 8, 1950","""Everything's Just The Way You Almost Left It""",Republican Party
"Sunday, September 10, 1950",Latest Try For A Hammer-Throw Record,Truman Administration
"Monday, September 11, 1950","""Well, Here We Are Back In School, Sort-Of""",Schools
"Tuesday, September 12, 1950","""What Do You Figure This One Would Cost?""",Congress
"Wednesday, September 13, 1950","""I've Got It! -- Let's Call It A Furlough""",Congress
"Thursday, September 14, 1950","""Down In Front!""",Second Red Scare
"Friday, September 15, 1950","""Vicious Characters. When Attacked They Fight Back""",Korean War
"Sunday, September 17, 1950",The Return Home,Senate
"Monday, September 18, 1950","""You The Man That Ordered A Watchdog?""",Senate
"Tuesday, September 19, 1950","""Hello -- U.N.? --""",Korean War
"Wednesday, September 20, 1950","""Whoa!""",Truman Administration
"Thursday, September 21, 1950","""In This Damn Place A Majority Can Veto Us!""",United Nations
"Friday, September 22, 1950","""Better Put In A Landing Strip For Me Too""",Korean War
"Saturday, September 23, 1950","""You Know, That Cold War Wasn't So Bad""",Korean War
"Sunday, September 24, 1950","""Oh -- I Thought It Was One Of Our New Jets""",Congress
"Monday, September 25, 1950","""Well, Do I Get The Job?""",United Nations
"Tuesday, September 26, 1950","""This Must Be About That Thing We Voted For, Huh?""",Congress
"Wednesday, September 27, 1950","""Yeah, But This Enemy Has A Real Air Force""",US Economy
"Thursday, September 28, 1950","""United Nations -- Gentlemen -- Your Note Of A Few Months Ago Has Just Come To My Attention --""",Korean War
"Friday, September 29, 1950",A Policeman's Lot,New York City
"Sunday, October 1, 1950","""Never Mind About The Rain Letting Up""",Truman Administration
"Monday, October 2, 1950","""Don't Go To Any Bother -- I'd Rather Just Drop In""",World Stability
"Tuesday, October 3, 1950","""All Right -- Whose Idea Was It?""",Korean War
"Wednesday, October 4, 1950",Home Game,US Economy
"Thursday, October 5, 1950","""Look -- Why Don't We All Go Home And Call It Even?""",Korean War
"Friday, October 6, 1950","""Anyhow, Nobody Can Say I'm Being Partisan""",Senate
"Saturday, October 7, 1950","""Open Wide""",Truman Administration
"Sunday, October 8, 1950","""Anything For Me Today?""",Cold War
"Monday, October 9, 1950","""Haven't You Heard? The Wolf Was Killed In Korea""",Congress
"Tuesday, October 10, 1950",[Untitled],US Economy
"Wednesday, October 11, 1950","""You Could Visit One Of The Generals In Siberia""",Truman Administration
"Thursday, October 12, 1950","""We Haven't Been Idle Either""",United Nations
"Friday, October 13, 1950","""See It?""",National Association of Broadcasters
"Sunday, October 15, 1950","""I'll Wait Here""",Congress
"Monday, October 16, 1950","""Personally, I Got One Of Them Bipartisan Policies""","Congressional Elections, 1950"
"Tuesday, October 17, 1950","""Well, If It Doesn't Work Right Why Don't You Put Your Thumb On The Scale?""",Congress
"Wednesday, October 18, 1950","""You Mean Some Can And Don't Do It?""","Congressional Elections, 1950"
"Thursday, October 19, 1950","""It's Too Small To Play House. Let's Play School""",Schools
"Thursday, November 9, 1950",The Driver's Seat,"Congressional Elections, 1950"
"Friday, November 10, 1950",[Untitled],Congress
"Sunday, November 12, 1950","""One Side, Bub -- I Just Won A Big Victory""",Republican Party
"Monday, November 13, 1950","""Come On, Let's See Some Action!""",Cold War
"Tuesday, November 14, 1950","""Going To Call On Him For A Post-Election Speech?""",Senate
"Wednesday, November 15, 1950",Lost Horizons,United Nations
"Thursday, November 16, 1950","""Don't Worry -- I Might Catch You""",Congress
"Friday, November 17, 1950","""Hey, You! What's The Idea Blocking Traffic?""",Truman Administration
"Sunday, November 19, 1950",Wings Over Manchuria,Truman Administration
"Monday, November 20, 1950",Thanksgiving Bird,Congress
"Tuesday, November 21, 1950","""I'm Doing My Best To Get You In, Pal""",United Nations
"Wednesday, November 22, 1950","""Chief, I Think Next Year We Can Take Washington""",Taiwan
"Thursday, November 23, 1950","""The Sky's The Limit""",Congress
"Friday, November 24, 1950","""It Sure Ain't Santa Claus""",US Economy
"Sunday, November 26, 1950","""We've Got A Good Ally Fighting Yugoslavia For Us""",Soviet Union
"Monday, November 27, 1950","""A Couple Of Stars Would Certainly Brighten It Up""",Congress
"Tuesday, November 28, 1950","""The Only Question Is, Whose Bipartisan Policy?""",Congress
"Wednesday, November 29, 1950",Translation From The Chinese,United Nations
"Thursday, November 30, 1950","""Five Hundred Million Of Them -- All Expendable""",Soviet Union
"Friday, December 1, 1950",The Burning Fuse,Soviet Union
"Sunday, December 3, 1950","""Well, There's Plenty Others Will Listen To Us""",Truman Administration
"Monday, December 4, 1950",Number One Boy,Soviet Union
"Tuesday, December 5, 1950",This Would Be A Perfect Time For You Guys To Shut Up',Truman Administration
"Wednesday, December 6, 1950","""Forget About Europe -- I'll Take Care Of That""",Truman Administration
"Thursday, December 7, 1950","""Scram! We Got Too Many People That Believe In Democracy Already!""",Congress
"Friday, December 8, 1950","""How's That Again?""",Truman Administration
"Sunday, December 10, 1950",Christmas Shopping,Korean War
"Monday, December 11, 1950","""We're Gonna Have To Do Something About That Boy""",US Economy
"Tuesday, December 12, 1950",Bong!,Truman Administration
"Wednesday, December 13, 1950","""I Knock Off A Good Percentage Right Over Here""",US Economy
"Thursday, December 14, 1950","""He Left There To Get Away From The Cheering Crowds""",Congress
"Friday, December 15, 1950","""Gosh, If Only We Had More People On Our Side!""",Congress
"Friday, December 15, 1950","""By George, If This World Crisis Was Up To Me --""",World Stability
"Sunday, December 17, 1950","""We're Fighting Too, Fellows!""",Congress
"Monday, December 18, 1950",Another Racket To Crack Down On,Second Red Scare
"Tuesday, December 19, 1950","""Hear Anything About Where We Volunteer Next?""",Korean War
"Wednesday, December 20, 1950","""He Didn't Entirely Go Along With The Idea""",Congress
"Thursday, December 21, 1950","""Well, It Was Nice To Have Met You""","Eisenhower, Dwight D"
"Friday, December 22, 1950","""Yeah -- Uh Huh""",Truman Administration
"Sunday, December 24, 1950","""Now, One Thing More To Investigate --""",Senate
"Monday, December 25, 1950",[Untitled],Christmas
"Tuesday, December 26, 1950","""Gee -- I Was Afraid Maybe He Wouldn't Be Cleared""",Christmas
"Wednesday, December 27, 1950","""Who Says I Haven't Got A Foreign Policy?""",Republican Party
"Thursday, December 28, 1950","""Just What I Was Saying When The Roof Caved In""",Congress
"Friday, December 29, 1950","""Now, If That Was An Auto I'd Tell It To Stop""",US Economy
"Sunday, December 31, 1950","""Ain't I Always Willing To Share What You've Got?""",Soviet Union
"Monday, January 1, 1951","""That's Funny -- I Keep Writing 1952""",Congress
"Tuesday, January 2, 1951","""All Right, You Guys -- Back Of The Lines""",Congress
"Wednesday, January 3, 1951","""It's A Perfect Match""",Senate
"Thursday, January 4, 1951","""Think There's Any Chance Of A Cease-Fire Over Here?""",Congress
"Friday, January 5, 1951","""See? He Goes To Sleep On The Job""",Truman Administration
"Sunday, January 7, 1951","""The Kickoff""",Senate
"Monday, January 8, 1951","""Can't You Find Some Way To Settle Things?""",Truman Administration
"Tuesday, January 9, 1951","""Gave Proof Through The Night ...""",Truman Administration
"Wednesday, January 10, 1951","""The Whole Thing Is Ridiculously Simple""",Senate
"Thursday, January 11, 1951","""Good Morning, Sir. You, As The Head Of The House --""",Congress
"Friday, January 12, 1951","""Okay, Let's Have It""",Congress
"Sunday, January 14, 1951","""We Got To Think More About Our National Resources""",Congress
"Monday, January 15, 1951","""MY Armies Move On Other People's Stomachs""",Cold War
"Tuesday, January 16, 1951","""And Sometimes I Think Even Thee Are Socialistic""",Congress
"Wednesday, January 17, 1951","""Just A Minute -- I Take A Cut Out Of This Too""",Congress
"Thursday, January 18, 1951","""Briefly, You're A Warmonger And An Appeaser""",Truman Administration
"Friday, January 19, 1951","""They Went Thataway""",US Economy
"Sunday, January 21, 1951","""Where Were You Guys When We Were Winning?""",Congress
"Monday, January 22, 1951","""Tell You What -- If I Stand On Your Shoulders --""",Truman Administration
"Tuesday, January 23, 1951","""This Little Lad Needs Protection""",Congress
"Wednesday, January 24, 1951","""Well?""",Congress
"Thursday, January 25, 1951",[Untitled],World Stability
"Thursday, January 25, 1951","""There's Some Mistake -- I Came To Bury Caesar""",Truman Administration
"Friday, January 26, 1951","""998 -- 999 -- 1000 -- Here I Come, Ready Or Not""",US Economy
"Sunday, January 28, 1951","""Some Of Us Have Been Frozen For Quite A While""",US Economy
"Monday, January 29, 1951","""Hey, Fellows, How About That Other War Of Ideas?""",Cold War
"Tuesday, January 30, 1951","""It's Nice If You're Dressed For It""",US Economy
"Wednesday, January 31, 1951","""I'll Make The Down Payment For You""",Truman Administration
"Thursday, February 1, 1951","""Maybe I Was Better Off When I Wasn't Invited""",Truman Administration
"Friday, February 2, 1951",Winter Of Our Discontent,Cold War
"Sunday, February 4, 1951","""Mind If I Make A Suggestion?""",Congress
"Monday, February 5, 1951",Any Pause At The Kremlin Gambling Table?,Cold War
"Tuesday, February 6, 1951","""Sure -- I'm In Favor Of A Free Press""",Argentina
"Wednesday, February 7, 1951","""Hold It, Please""",Cold War
"Thursday, February 8, 1951","""Yoo Hoo -- Hallooooo -- Hey!""",US Economy
"Friday, February 9, 1951","""Who Does This Eisenhower Think He Is?""",Senate
"Sunday, February 11, 1951","""Come In -- Come In""",Congress
"Monday, February 12, 1951","""I Haven't Changed Anything Except The Crew""",Truman Administration
"Tuesday, February 13, 1951","""See Any Knaves Approaching The Moat, Sire?""",Senate
"Wednesday, February 14, 1951","""But First A Few Words From Our Sponsors --""",Congress
"Thursday, February 15, 1951","""Good News -- We're Going Up More Slowly Now""",US Economy
"Friday, February 16, 1951",Manuscript Found In A Bottleneck,Congress
"Sunday, February 18, 1951","""Doesn't Anybody Believe In Peace Any More?""",Cold War
"Monday, February 19, 1951",Back To The Good Old Days,Congress
"Tuesday, February 20, 1951","""All Right, Comrade, Hand Me The Sledgehammer""",Cold War
"Wednesday, February 21, 1951","""Wait -- Let's Not Get There Ahead Of Time""",Truman Administration
"Thursday, February 22, 1951",Horse-And-Rabbit Stew,Congress
"Friday, February 23, 1951","""I'll Cut Him Down To Nothin' -- I'll Moider Him --""",Congress
"Friday, February 23, 1951","""You Sure You've Got Him Locked Up Tight?""",Truman Administration
"Sunday, February 25, 1951","""Ahem!""",Truman Administration
"Monday, February 26, 1951","""Always Glad To Loan My Neighbor A Shovel""",Korean War
"Tuesday, February 27, 1951","""I'll Be Glad When The Great Debate Is Over""",Republican Party
"Wednesday, February 28, 1951","""Merrily We Roll Along""",Congress
"Thursday, March 1, 1951","""How Do You Spell Miscellaneous?""",US Economy
"Friday, March 2, 1951","""Let's Just Try Not To Notice Him""",Truman Administration
"Sunday, March 4, 1951","""Just Charge It To Uncle Sam""",Congress
"Monday, March 5, 1951","""How Could You Kids Lose Your Sense Of Values?""",Congress
"Tuesday, March 6, 1951",Non-Composite Campaign Picture,Congress
"Wednesday, March 7, 1951","""Come Back Any Time""",Congress
"Thursday, March 8, 1951","""Just A Minute! I'll Hold That Ladder For You""",Democratic Party
"Friday, March 9, 1951","""Oh, No -- Not Again -- I'm Tired""",Cold War
"Sunday, March 11, 1951","""Now I See How Airpower Can Defeat A Country""",Congress
"Monday, March 12, 1951",Bipartisan Slum,Congress
"Tuesday, March 13, 1951","""Uh -- We Can't Purge Them, Boss -- They've Left""",Soviet Union
"Wednesday, March 14, 1951",The Capitol Hill Military Academy,Congress
