Date of Cartoon,Title,Major Subject
"Sunday, February 15, 1970",Political Air Pollution,Civil Rights
"Tuesday, February 17, 1970",[Untitled],Democratic Party
"Wednesday, February 18, 1970",Reordered Priorities At The White House,Civil Rights
"Thursday, February 19, 1970","""You Can Come Out Now -- It's All Done""",Nixon Administration
"Friday, February 20, 1970","""If You Really Appreciate My Support, There's Something You Can Do For Me""",Democratic Party
"Sunday, February 22, 1970","""Yes Sir -- We'll Issue Some More Statements On Both Sides Of The Question Immediately""","Nixon, Richard"
"Tuesday, February 24, 1970","""Don't Be Picky -- There's Nothing Wrong With Him Except His Record""",Supreme Court
"Wednesday, February 25, 1970",Here Come The Clowns,Courts
"Thursday, February 26, 1970","""It's Guaranteed To Keep You From Being Eaten By Chinese Dragons""",Nixon Administration
"Friday, February 27, 1970","""Just So Long As Nobody Tries Vietnamization At This Level""",Vietnam War
"Sunday, March 1, 1970","""Gosh, What If They Should Take Us Up On That?""",Nixon Administration
"Tuesday, March 3, 1970","""As You Can Tell, We're Still Going Downstairs""",Nixon Administration
"Wednesday, March 4, 1970","Son Of ""Southern Strategy""",Civil Rights
"Thursday, March 5, 1970",Latest Communique From The White House Shelter,Nixon Administration
"Friday, March 6, 1970","""I've Got It, Chief -- We'll Say That We've Developed Some Truly Remarkable Bombs""",Nixon Administration
"Sunday, March 8, 1970","""We're Off And Running""",Democratic Party
"Tuesday, March 10, 1970","""Don't Ask Questions, Dopey -- Just Go Out There And Read That Statement""",Supreme Court
"Wednesday, March 11, 1970","""I Don't Smell Anything -- I Don't Smell Anything -- I Don't Smell Anything -- I Don't -- Whew --""",Supreme Court
"Thursday, March 12, 1970","""Now, Along With That Nozzle You Bought, You'll Need A Hose""",Nixon Administration
"Friday, March 13, 1970","""Relax, Boy -- We Ain't Gonna Let Nobody Investigate You But Us""",Supreme Court
"Sunday, March 15, 1970","""Right, Chief -- If We Go After Everybody, We're Bound To Hit A Criminal Some Time""",Nixon Administration
"Tuesday, March 17, 1970","""What's All That Talk About Our Not Being A Broadly Based Government?""",Vietnam War
"Wednesday, March 18, 1970","""So It Can't Pass Inspection, It's Hot, And It's Got Phony Papers -- I Been Told To Unload It""",Supreme Court
"Thursday, March 19, 1970","""Open Administration""",Nixon Administration
"Friday, March 20, 1970","""Don't Misunderstand Me -- I'm Very Fond Of Birds""",Cold War
"Sunday, March 22, 1970","""If We Don't Go Along, We Might Lose His Backing""",Supreme Court
"Tuesday, March 24, 1970","""The Trouble With Kids Today Is They Have No Respect For Our Institutions""",Nixon Administration
"Wednesday, March 25, 1970","""They Don't Entirely Understand The War Against Inflation""",US Economy
"Thursday, March 26, 1970","""Ever Think Of Changing Tires Before They Blow?""",Nixon Administration
"Friday, March 27, 1970","""Take It Back To The Kitchen""",Supreme Court
"Sunday, March 29, 1970","""Right -- We Have To Watch Out For Those Radical Young Long-Hairs""",Congress
"Tuesday, March 31, 1970","""Tut Tut -- They're Just Mediocre Deceptions""",Supreme Court
"Tuesday, March 31, 1970","""Oh, We're Working Hard On The Oil Situation -- We're Holding Down Imports Of Low-Cost Foreign Oil""",Nixon Administration
"Wednesday, April 1, 1970","""It's Not As If You Were Something Important, Like A Financial Investment""",Supreme Court
"Thursday, April 2, 1970",Second Front,Supreme Court
"Friday, April 3, 1970","""Don't Worry About Sonic Booms -- We'll Just Let The Cities Go To Pieces In The Same Old Way""",Nixon Administration
"Saturday, April 4, 1970","""That's Nice""",Nixon Administration
"Sunday, April 5, 1970","""There's No Reason To Go Back In There""",Supreme Court
"Monday, April 6, 1970","""Just Push, Boy -- It's Not Your Job To Think""",Supreme Court
"Tuesday, April 7, 1970",Balanced Court,Supreme Court
"Tuesday, April 7, 1970","""Why Are People So Excited About Him?""",Nixon Administration
"Wednesday, April 8, 1970","""It's A Matter Of Loyalty, Senator""",Supreme Court
"Thursday, April 9, 1970",1970 Chapter,Supreme Court
"Friday, April 10, 1970","""I Thought He Was Supposed To Grow In The Job""",Supreme Court
"Sunday, April 12, 1970","""They're Thinking Of Renaming It The Mason-Nixon Line""",Nixon Administration
"Tuesday, April 14, 1970","""We Want To Keep The Postal Service On A Pay-As-He-Goes Basis""",Nixon Administration
"Wednesday, April 15, 1970","""Did You Say The Magic Words, 'Law And Order'?""",Nixon Administration
"Thursday, April 16, 1970","""There's One That Might Want To Make A Campaign Contribution""",Nixon Administration
"Friday, April 17, 1970","""You Mean Vote For President Yourself -- Without Leaving It To Me?""",Presidential Elections--Process
"Sunday, April 19, 1970",Home,Space
"Tuesday, April 21, 1970","""Wait -- Why Don't You Fellows Fight It Out To See Who Gets To Save Her?""",Presidential Elections--Process
"Wednesday, April 22, 1970",The Tunnel At The End Of The Tunnel,Vietnam War
"Thursday, April 23, 1970",Environment,Nixon Administration
"Friday, April 24, 1970",Posture In Indochina,Vietnam War
"Sunday, April 26, 1970","The F-One-Elevens Lie Amoldering On The Ground, Their Costs Go Soaring On'",Nixon Administration
"Tuesday, April 28, 1970","""The Jackpot Must Be Just About Due""",Nixon Administration
"Wednesday, April 29, 1970",[Untitled],Vietnam War
"Thursday, April 30, 1970","""Greetings, Cousin""",World Stability
"Friday, May 1, 1970","""Observe Closely -- Shell Number One -- Shell Number Two ...""",Vietnam War
"Sunday, May 3, 1970","""Vietnamization Has Been So Successful We've Decided To Extend It""",Vietnam War
"Tuesday, May 5, 1970","""You See, The Reason We're In Indochina Is To Protect Us Boys In Indochina""",Vietnam War
"Wednesday, May 6, 1970",Live Ammunition,Civil Rights
"Thursday, May 7, 1970","""Verrrry Interrrresting -- But Shtupid""",Vietnam War
"Friday, May 8, 1970",Class of '70,Vietnam War
"Sunday, May 10, 1970","""Back!""",Vietnam War
"Tuesday, May 12, 1970",Strategy Conference,Nixon Administration
"Wednesday, May 13, 1970","""Now Is Everything Perfectly Clear?""",Vietnam War
"Thursday, May 14, 1970",Operation Will-O'-The-Wisp,Vietnam War
"Friday, May 15, 1970","Now If You Were A Military Dictatorship, You Could Have Planes, Pilots, Troops, Tanks, Money ...'",Nixon Administration
"Sunday, May 17, 1970",Military Thrust,Nixon Administration
"Tuesday, May 19, 1970",End Of School,Vietnam War
"Wednesday, May 20, 1970","""Chief, I Think We've Found What We've Been Looking For""",Vietnam War
"Thursday, May 21, 1970","""How About A Bold Move To Reach Dissenters -- Like If We Were To Open Direct Talks With Members Of Our Administration?""",Nixon Administration
"Friday, May 22, 1970","""But On The Average, We're Doing Okay""",Nixon Administration
"Sunday, May 24, 1970","""We Pacify South Vietnam, The South Vietnamese Pacify Cambodia, The Laotians Pacify -- Let's See, Where Was I?""",Vietnam War
"Tuesday, May 26, 1970","""Oh, And By The Way -- How About Raising The Debt Ceiling A Few Billions?""",Nixon Administration
"Wednesday, May 27, 1970","""That's The Trouble With People These Days -- They Just Don't Seem To Be Listening""",US Economy
"Thursday, May 28, 1970",No Comment,Nixon Administration
"Friday, May 29, 1970","""You Look All Right To Me -- I See No Reason To Prosecute""",Nixon Administration
"Sunday, May 31, 1970","""Nope -- There Doesn't Seem To Be Anything In International Law About A Country Using Poison Gas On Itself""",Pollution
"Tuesday, June 2, 1970","""As I Get It, We're Going To Be Vietnamized And Thai-ized, With A Little U.S. Bomberizing""",Vietnam War
"Wednesday, June 3, 1970","""It Makes A Great Bargaining Chip""",Nixon Administration
"Thursday, June 4, 1970","""Yes, We're Both Still Here. No, Neither Of Us Is Saying Anything Yet About 1972""",Presidential Elections--Process
"Friday, June 5, 1970","""No Pictures Of A Captured Enemy Headquarters? Well, How About Boiling That Captured Rice To Make It Fluff Up More?""",Vietnam War
"Sunday, June 7, 1970","""You Sure Dazzled Me With That Bold Move Into Cambodia""",Cold War
"Tuesday, June 9, 1970","""National Security"" Blanket",Vietnam War
"Wednesday, June 10, 1970","""If We Beat Up A Few More, Maybe We'll Get Invited To The White House""",Vietnam War
"Thursday, June 11, 1970","""Here We Are Starting On Our Fact-Finding Trip. Those Bags Going Aboard With Us Contain The Facts We Will Find""",Vietnam War
"Friday, June 12, 1970","""One Question, Please -- If It's So Good, Why Doesn't He Pay For It Himself?""",Nixon Administration
"Sunday, June 14, 1970",Open Administration,Nixon Administration
"Tuesday, June 16, 1970","""Somebody's Dragging His Feet!""",Congress
"Wednesday, June 17, 1970","""And Put In A higher Fence Too""",Nixon Administration
"Thursday, June 18, 1970","""Greetings -- You Have Been Classified Citizen A-1""",Congress
"Friday, June 19, 1970","""We Wouldn't Think Of 'Jawboning'! We're Going To Issue Special Recorded Announcements""",Nixon Administration
"Sunday, June 21, 1970","""Tell Me About Your Problem""",US Economy
"Tuesday, June 23, 1970","""Pst -- Want Something That'll Give You A Quick Lift?""",US Economy
"Wednesday, June 24, 1970","""Think We'd Better Take On An Astrologer, Just As A Backstop?""","Nixon, Richard"
"Thursday, June 25, 1970","""Uncouth Little Beggars!""",Nixon Administration
"Friday, June 26, 1970","""As We Roll Over You, You Can Help Grease The Machine""",Nixon Administration
"Sunday, June 28, 1970","""And Some Day You Might Turn The Brush Over To A Number-2 Man Of Your Own""","Nixon, Richard"
"Tuesday, June 30, 1970","""We Were Completely Successful -- We Got Out Before Any More Of It Went Down""",Vietnam War
"Wednesday, July 1, 1970","""Good News, Fellows -- This Is The Half When We're Supposed To Score""",US Economy
"Thursday, July 2, 1970","""It Worked Fine -- It Made Everybody Happy To See Us Back In Vietnam""",Vietnam War
"Friday, July 3, 1970","""Nope, I'm Afraid There's Nothing In Here Requiring The Senate To Salute You And Say 'Yes, Chief'""","Nixon, Richard"
"Sunday, July 5, 1970","""Maybe We'd Be More Convincing If We Could Bust Out Of Here""",Congress
"Tuesday, July 7, 1970","""We Try To Follow The Current Trend""",US Economy
"Wednesday, July 8, 1970","""Is It True About Your Keeping Political Prisoners Caged Up?""",Vietnam War
"Thursday, July 9, 1970","""You Look Fine Fine Fine""",Nixon Administration
"Friday, July 10, 1970","""Now, Then -- You Were Telling Me Something About A Troublesome Bear Cub""",Middle East
"Sunday, July 12, 1970",Haunted House,Congress
"Tuesday, July 14, 1970","""I Always Seem To Get Taken For A Ride""",Nixon Administration
"Wednesday, July 15, 1970","""If You Could Walk With The Dominoes, Talk With The Dominoes ...""",Vietnam War
"Thursday, July 16, 1970","""We Feel A Diplomatic Agreement Can Be Worked Out Between Them""",Vietnam War
"Friday, July 17, 1970","New ""Fairness Doctrine""",Nixon Administration
"Sunday, July 19, 1970",The Godfather,Congress
"Tuesday, July 21, 1970",The Open Road,Nixon Administration
"Wednesday, July 22, 1970","""If You Can't Lick 'Em, Join 'Em""",Nixon Administration
"Thursday, July 23, 1970","""I Am Not A Pitiful Helpless Giant, I Am Not A Pitiful Helpless Giant, I Am Not A Pitiful Helpless ...""",Vietnam War
"Friday, July 24, 1970","""First We Try It Out On The Slaves""",Nixon Administration
"Sunday, July 26, 1970","""They're Willing To Forget The Past -- All They Ask Is That You Forget It Too""",Middle East
"Tuesday, July 28, 1970",The Harvesters,Nixon Administration
"Wednesday, July 29, 1970","""I Just Opened It To Get Some Jam For My Friend Strom""",Nixon Administration
"Thursday, July 30, 1970",Face To Face,Pollution
"Friday, July 31, 1970","""Name Your Poison""",Pollution
"Sunday, August 2, 1970","""Let Me Make Two Things Clear. First: The Country Is In Fine Shape. And Second: Congress Is To Blame For The Mess We're In""",Nixon Administration
"Tuesday, August 4, 1970","""And On Those Cars For The Congressmen -- Let's Try To Make Sure The Wheels Won't Fall Off""",Automotive Industry
"Wednesday, August 5, 1970","""You Were Saying That You Saw A Western Movie The Other Day ...""",Nixon Administration
"Thursday, August 6, 1970","""Find A Way To Make It Harmless? Now, Wait A Minute -- We're Not Miracle Men""",World Stability
"Friday, August 7, 1970","""You Have Just Heard The President Of The United States. Please Stay Tuned For The Clarifying Statements""",Nixon Administration
"Sunday, August 9, 1970","""Never Mind If It Doesn't Work -- Think Of It As A Conversation Piece""",Cold War
"Tuesday, August 11, 1970","""To Keep Warding Off Evil Spirits, You Have To Keep Adding More Charms""",Nixon Administration
"Wednesday, August 12, 1970","""Run 'Em Down -- Run 'Em All Down""",Nixon Administration
"Thursday, August 13, 1970",[Untitled],Nixon Administration
"Friday, August 14, 1970","""Good News! The Statistics Indicate Decreases In The Rates Of -- Uh -- Increase ...""",Nixon Administration
"Sunday, August 16, 1970","""Yeah, It's A Big Ocean -- But Those Were Big Lakes Too""",Pollution
"Tuesday, August 18, 1970","""Gosh, We've Been So Busy Taking Bows, We Couldn't Watch Everything""",Middle East
"Wednesday, August 19, 1970","""And Now, The Cucknew Clock""",Nixon Administration
"Thursday, August 20, 1970","""Violations, Shmiolations -- This Is The Only Rocket We Care About""",Middle East
"Friday, August 21, 1970",Air Supremacy,Nixon Administration
"Sunday, August 23, 1970","""Come On, Charlie Brown -- This Time You Can Really Count On Me""",Middle East
"Tuesday, August 25, 1970","""We Have A No-Knock Policy For That Too -- We Don't Knock It""",Gun Controls
"Wednesday, August 26, 1970","""Fair Is Fair -- We Have A Little Box For You Too""",Nixon Administration
"Thursday, August 27, 1970","""It's The Nixon Domino Doctrine -- You Keep Adding Pieces""",Vietnam War
"Friday, August 28, 1970","""Look At This, Boy -- See How We're Protecting You?""",Oil Industry
"Sunday, August 30, 1970","""Low-Pollution Cars By 1975? Good Grief, Senator, We Poor Little Auto Manufacturers Don't Have That Kind Of Technology""",Congress
"Tuesday, September 1, 1970","""Don't Just Stand There -- DO Something!""",Nixon Administration
"Wednesday, September 2, 1970",The Pyramid Builders,Nixon Administration
"Thursday, September 3, 1970","""You May Have A Point There""",Middle East
"Friday, September 4, 1970",Children Of Agnes Meyer,In Memoriam
"Sunday, September 6, 1970","""We've Turned The Corner""",US Economy
"Tuesday, September 8, 1970","""Fine! Fine! -- Await A Minute -- You Mean Pass A Law To Really DO Something About It?""",Nixon Administration
"Wednesday, September 9, 1970",One Answer To Hijackings,Plane Hijacking
"Thursday, September 10, 1970","""Anyhow, Nobody Can Say We're Pitiful Helpless Giants""",Middle East
"Friday, September 11, 1970","""All I Want Is Just All The Power There Is""",Special Interests
"Sunday, September 13, 1970","""They're Improving -- They Were Able To Detect The Hijackings In Less Than A Month""",Middle East
"Tuesday, September 15, 1970","""I'd Feel Better Without That Guy Sitting In The Back Of The Cockpit""",Presidential Elections--Process
"Wednesday, September 16, 1970","""It Turns Out That The Dominoes Have Been Talking In Big Figures""",Nixon Administration
"Thursday, September 17, 1970","""Boy, If Only He Twisted Arms For Us The Way He Did Trying To Get G. Harrold Carswell On The Court""",Nixon Administration
"Friday, September 18, 1970","""All You Kids Know Are Four-Letter Obscenities""",Vietnam War
"Sunday, September 20, 1970","""Tell The College Kids To Call Some Other Time""",Congress
"Tuesday, September 22, 1970",Test Run,Middle East
"Wednesday, September 23, 1970","""When The Pollution Gets Thick Enough, You'll Hardly Notice Them""",Special Interests
"Thursday, September 24, 1970","""Imagine The Kind Of Radical-Liberals Who Turned Down This Splendid Fellow!""",Nixon Administration
"Friday, September 25, 1970","""We Feel The Public Is Getting All The Views It Needs""",Nixon Administration
"Sunday, September 27, 1970","""Give Them The Message, Pal""",Congress
"Tuesday, September 29, 1970",New Riddle,In Memoriam
"Wednesday, September 30, 1970",Permissiveness,Protests
"Thursday, October 1, 1970","""You'll Have To Remember That Some Students You Talk To Will Not Be FBI Agents""",Protests
"Friday, October 2, 1970","""Come Back When You Can Reach The Conclusions We Want""",Nixon Administration
"Sunday, October 4, 1970","""I'm Gonna Cut You Guys Down, Do You Hear? Cut You Right Down!""",Nixon Administration
"Tuesday, October 6, 1970","""Out, Damned 'Spots'!""","Congressional Elections, 1970"
"Wednesday, October 7, 1970","""As We Were Saying, It's Awful The Way A Few Kids Have Been Able To Deprive Majorities Of Their Rights""",Presidential Elections--Process
"Thursday, October 8, 1970","""A Cup Of Black Powder And A Few Rounds Of Ammo? Certainly, Neighbor""",Gun Controls
"Friday, October 9, 1970","""He's Still There""",Vietnam War
"Sunday, October 11, 1970","""Now, When You Get To This City You Turn Right And Come Up At The Auditorium""","Congressional Elections, 1970"
"Tuesday, October 13, 1970","""It's Not Exactly Like The Lincoln-Douglas Debates""",Nixon Administration
"Wednesday, October 14, 1970","""Don't Worry, Chief -- We're Going To Find The Radical Nut Who Appointed That Commission""",Nixon Administration
"Thursday, October 15, 1970",Against The Middle,"Congressional Elections, 1970"
"Friday, October 16, 1970","""Have You No Sense Of Priorities!""","Congressional Elections, 1970"
"Sunday, October 18, 1970","""Beat It, Fella -- All We Want Is The Final Scene""",Nixon Administration
"Tuesday, October 20, 1970","""I'm Glad To See Nixon's Against Kids Who Throw Rocks And Talk Dirty""","Congressional Elections, 1970"
"Wednesday, October 21, 1970",Oil Slick,Oil Industry
"Thursday, October 22, 1970","""This Is Law And Order?""",Gun Controls
"Friday, October 23, 1970","""I Thought We Were Supposed To Be Starting Down""",Nixon Administration
"Sunday, October 25, 1970","""What Do You Mean, 'Recession'?""","Congressional Elections, 1970"
"Tuesday, October 27, 1970","""Dear, Did He Say Which Candidates Are FOR Bombing, Burning, Rioting And Mugging?""","Congressional Elections, 1970"
"Wednesday, October 28, 1970","""You Can See At A Quick Glance That Things Are Picking Up""",Nixon Administration
"Thursday, October 29, 1970","""What Are You Trying To Do, Make Us Look Bad?""",Urban Issues
"Friday, October 30, 1970","""By The Powers Vested In Me, I Hereby Declare Each Of You A Success""","Nixon, Richard"
"Friday, October 30, 1970","""Cease-Fire Over Here? Are You Nuts?""",Gun Controls
"Sunday, November 1, 1970","""Could You Explain It Once More, Please?""",Nixon Administration
"Tuesday, November 3, 1970",Road Map,"Congressional Elections, 1970"
"Wednesday, November 4, 1970","""I Don't Think It's Going To Cool Off""","Congressional Elections, 1970"
"Thursday, November 5, 1970",Voter Profile,"Congressional Elections, 1970"
"Friday, November 6, 1970","""Only When I Laugh""","Congressional Elections, 1970"
"Sunday, November 8, 1970","""Everything All Right Here?""","Congressional Elections, 1970"
"Tuesday, November 10, 1970","""Remember, They Laughed At Icarus Too""",Nixon Administration
"Wednesday, November 11, 1970",[Untitled],In Memoriam
"Thursday, November 12, 1970","""Maybe Just One More For The Road""",US Economy
"Friday, November 13, 1970","""Man, This Thing Is Murder -- But Only Second Degree, Mind You""",Nixon Administration
"Sunday, November 15, 1970","""Now, On The Hole Before That One -- When You Consider The Wind And The Conditions Of The Fairway And Where They Placed The Pin ...""","Congressional Elections, 1970"
"Tuesday, November 17, 1970","""It's For What We Call 'Protection'""",US Economy
"Wednesday, November 18, 1970","""What Do You Think You're Gonna Do, Shorty?""","Congressional Elections, 1970"
"Thursday, November 19, 1970","""This Tap Happens To Run A Little Slower""",Nixon Administration
"Friday, November 20, 1970","""Leave This To Me, Officer -- I'll Decide Whether He Has A Good Excuse""",Nixon Administration
"Sunday, November 22, 1970","""And If The Attorney General Continues To Show Proper Deference, You Intend To Keep Him On?""",FBI
"Tuesday, November 24, 1970",The Winner,"Congressional Elections, 1970"
"Wednesday, November 25, 1970","""And For My Next Surprise --""",Vietnam War
"Thursday, November 26, 1970","""It Was A Protective Reaction As Part Of A Unilateral Understanding To Maintain A Lower Profile At A Higher Level""",Vietnam War
"Friday, November 27, 1970","""I Told Him I Thought I Could Serve Him Best By Serving All The People, And ...""",Nixon Administration
"Sunday, November 29, 1970","""Good Strategy, Chief! Nobody Knows Where You'll Strike Next In Indochina Or Washington""",Nixon Administration
"Tuesday, December 1, 1970","""And We Think That In Time It Can Even Be Domesticated""",Nixon Administration
"Wednesday, December 2, 1970","""Effete, Elite, Intellectual Snobs!""",Soviet Union
"Thursday, December 3, 1970","""The Governor Isn't In Right Now -- He's Soliciting Funds In Washington""",Urban Issues
"Friday, December 4, 1970",The Non-Returnable Landscape,Pollution
"Sunday, December 6, 1970","""Remember The Good Old Days When We Were 'The Fuzz'?""",Urban Issues
"Tuesday, December 8, 1970","""On A Clear Day You Can See Forever""",Nixon Administration
"Wednesday, December 9, 1970","""You've Got To Put Up Some More Money -- You Can't Quit While You're Behind""",Nixon Administration
"Thursday, December 10, 1970","""It's Santy Claus, Ho Ho Ho, With A Big Sock For You""",Nixon Administration
"Friday, December 11, 1970","""How Can You Tell When They've Resumed What They Call Service?""",Railroads
"Sunday, December 13, 1970",Shopping Season,Congress
"Tuesday, December 15, 1970","""Spiro And I Have Been Doing Everything We Could For Campus Unrest""",Nixon Administration
"Wednesday, December 16, 1970","""Mr. Connally And I Have Been Going Over Our Economic Game Plan ...""","Presidential Election, 1972"
"Thursday, December 17, 1970","""Know Your Enemy""",Nixon Administration
"Friday, December 18, 1970","""Biggest Christmas Stocking You've Ever Had""",Nixon Administration
"Sunday, December 20, 1970","""We Don't Yet Have Cameras That Can See Through The Roofs -- In Indochina""",Nixon Administration
"Tuesday, December 22, 1970","""Brother, The Law-And-Order Problem Is Getting Fierce""",World Stability
"Wednesday, December 23, 1970","""He's Right -- An Employment Program For Poor People Might Include Some Kind Of WPA Leaf-Raking""",Nixon Administration
"Thursday, December 24, 1970","""It Turns Out To Be More Horn Than Plenty""",Nixon Administration
"Sunday, December 27, 1970","""One Tuna, One Cyclamate Soda -- Hold The Tuna, Hold The Soda, Hold The Drinking Water ...""",Pollution
"Tuesday, December 29, 1970","""Okay, You Dirty Radical-Liberal -- The Game Is Up""",Nixon Administration
"Wednesday, December 30, 1970","""The Better To Protect Us From Intruders, My Dear""",Nixon Administration
"Thursday, December 31, 1970",The Formerly Good Earth,Pollution
"Friday, January 1, 1971","""It Was A Really Great Year, Men, And Let's Try To Make Sure We Don't Have Another One Like It""",Nixon Administration
"Tuesday, January 5, 1971",Rescue Mission,Congress
"Wednesday, January 6, 1971","""On The Other Hand, This Hasn't Worked Very Well Either""",Nixon Administration
"Thursday, January 7, 1971",Shadowed,Nixon Administration
"Friday, January 8, 1971","""That Terrible Congress -- Look At All The Things They Didn't Approve""",Congress
"Sunday, January 10, 1971","""You'll Be Glad To Know That The Administration Says It's Not Alarmed By The Latest Increase In Unemployment""",Nixon Administration
"Sunday, January 10, 1971","""It's Santy Claus, Ho Ho Ho, With A Big Sock For You""",Nixon Administration
"Tuesday, January 12, 1971","""Faster -- I Think It's Gaining On Us""",Congress
"Wednesday, January 13, 1971",For Control Of The 92nd Congress,Congress
"Thursday, January 14, 1971","""What I'm Doing Is Okay, Kid, Because The Laws On This Stuff Are Impractical And Out Of Date""",Campaign Finance
"Friday, January 15, 1971","""Enter And Kneel""",Congress
"Sunday, January 17, 1971","""Just What You've Been Looking For! A Real Tonic -- Say, Would You Mind Moving Along, Fella?""",Nixon Administration
"Tuesday, January 19, 1971","""Oh, We're Doing Something About It All The Time -- We Always Express Our Sympathy To The Widows""",Coal Industry
"Wednesday, January 20, 1971","""Vietnamization Is Working -- With Our Support, They're Able To Do Just What We Did""",Vietnam War
"Thursday, January 21, 1971",[Untitled],Vietnam War
"Friday, January 22, 1971","""Man, They're Really Getting With It""",Urban Issues
"Sunday, January 24, 1971","""Anyone Making Allowance For Our Depletion?""",Pollution
"Tuesday, January 26, 1971","""Listen -- If I Hear Any More Complaints I May Stop Hurrying""",Congress
"Wednesday, January 27, 1971","""We Loose Talkers Have To Stick Together""",Congress
"Thursday, January 28, 1971","""Oh, The Cartridge-Belt Look Is The Latest Thing Among Us Civilians""",Vietnam War
"Friday, January 29, 1971","""Look At It This Way, Bill -- You're Handling Our Most Serious Trouble Spot""",Nixon Administration
"Sunday, January 31, 1971",Chopper,Vietnam War
"Tuesday, February 2, 1971","""Well, It's Pretty Revolutionary For Us""",Nixon Administration
"Wednesday, February 3, 1971",We Want You To Have All The Information Possible About The Moon And Things Like That',Vietnam War
"Thursday, February 4, 1971","""Economic Report? I Thought He Was Talking About The War""",Nixon Administration
"Friday, February 5, 1971","""I'm Gaining -- He's Not Nearly As Strong As He Used To Be""",Congress
"Sunday, February 7, 1971","""There's Something Wrong About This""",Nixon Administration
"Tuesday, February 9, 1971","""You Sure This Is The Way Out?""",Vietnam War
"Wednesday, February 10, 1971","""Hello -- Ground Control -- Hello -- Control? -- Control? --""",US Economy
"Thursday, February 11, 1971","""Eh?""",Nixon Administration
"Friday, February 12, 1971","""Pardon Me, Would This Be A Good Time To Ask About Your Efforts To Impeach A Member Of The Supreme Court?""",Congress
"Sunday, February 14, 1971",The New Security,Nixon Administration
"Tuesday, February 16, 1971","""We're Against Crime, But We Don't Want To Interfere With Private Enterprise""",Nixon Administration
"Wednesday, February 17, 1971","""Hey, Kid -- Lemme Have One Of Those Signs""",US Economy
"Thursday, February 18, 1971",Vietnam Withdrawals,Nixon Administration
"Friday, February 19, 1971","""I Think Somebody's Watching Us""",Nixon Administration
"Sunday, February 21, 1971",Air Cover,Nixon Administration
"Tuesday, February 23, 1971","""I'd Like To Trade In The Whole Thing For A Guy With A Horse And A Couple Of Lanterns In A Church Steeple""",Cold War
"Wednesday, February 24, 1971","""You Can See I'm In Your Corner""",Senate
