Date of Cartoon,Title,Major Subject
"Tuesday, February 9, 1960","""We-All From Down In The Deep West, Suh --""","Presidential Election, 1960"
"Wednesday, February 10, 1960","""Don't Forget The Spirit Of Camp David""",Eisenhower Administration
"Thursday, February 11, 1960","""We Were Afraid The Democratic Candidate Might Say, 'I Will Go To Cape Canaveral'""","Presidential Election, 1960"
"Friday, February 12, 1960","""What Are You Doing? You Don't Seem To Realize Who I Am!""",Anti-Communism
"Sunday, February 14, 1960","""What I'm Really Afraid Of Is That He Might Forget The Spirit Of The George M. Humphrey Plantation""",Eisenhower Administration
"Tuesday, February 16, 1960","""Marvelous! Now Who Can We Trust To Be In Charge Of It?""",France
"Wednesday, February 17, 1960","""But This I Will Tell You -- The Fellow Who Lived Here Eight Years Ago Is To Blame""",Eisenhower Administration
"Thursday, February 18, 1960","""Chalk Up Another, Chief. This One Hit A Church""",United States Armed Forces
"Friday, February 19, 1960","""I'm Not Such A Bad Sort, Kid""","Presidential Election, 1960"
"Sunday, February 21, 1960","""Eminent Authorities Testify --""",Eisenhower Administration
"Tuesday, February 23, 1960","""Some Watchdogs!""",Congress
"Wednesday, February 24, 1960","""He Always Leaves A Nice Clean Desk""",Eisenhower Administration
"Thursday, February 25, 1960","""Off We Go --""",House Un-American Activities Committee
"Friday, February 26, 1960",[Untitled],Civil Rights
"Saturday, February 27, 1960","""Mmm -- Chicken!""",House Un-American Activities Committee
"Tuesday, March 1, 1960","""Ain't It Terrible About Those Sit-Downs?""",Civil Rights
"Wednesday, March 2, 1960","""Greetings, Occupant""",Congress
"Thursday, March 3, 1960","""Our Position Has Been Misrepresented. We Only Want To Deny The U.S. Senate The Right To Vote""",Civil Rights
"Friday, March 4, 1960","""What! Add A $10 Gadget Like That?""",Public Health
"Saturday, March 5, 1960","""You Trying To Undermine The American Way Of Life?""",House Un-American Activities Committee
"Sunday, March 6, 1960","""Oh, It Was Nice Meeting Him -- But I Just Don't Understand That North American Manana Attitude""",Eisenhower Administration
"Tuesday, March 8, 1960","""It's Time We Ended the Vestiges of World War II""",Cold War
"Wednesday, March 9, 1960",Split-Level Living,Eisenhower Administration
"Thursday, March 10, 1960","""Yes Sir -- That Was A Great Double Bill""","Presidential Election, 1960"
"Friday, March 11, 1960","""Wake Me When You Get It Worked Out, Son""",Civil Rights
"Sunday, March 13, 1960","""Tomorrow Morning, Sunny -- Praise Fidel -- With Rain In Afternoon -- Damn Those Americans --""",Cuba
"Tuesday, March 15, 1960","""You Must Learn To Help Yourself""",US Economy
"Wednesday, March 16, 1960",Sure We Have Two Parties -- The Quick And The Dead',South Korea
"Thursday, March 17, 1960",Smoke-Filled Room -- 1960,"Presidential Election, 1960"
"Friday, March 18, 1960","""Boss, We Didn't Go Over So Well In Puerto Rico""",Eisenhower Administration
"Sunday, March 20, 1960","""You Think That Equality Stuff Is Likely To Spread Up North Here?""",Civil Rights
"Tuesday, March 22, 1960","""I Dunno -- He's Supposed To Keep Away Evil Spirits Or Something""",Capital Punishment
"Wednesday, March 23, 1960","""And Here's The Report On Your Latest Checkup At Walter Reed Hospital""",Eisenhower Administration
"Thursday, March 24, 1960","""You Might Say That They See I-To-I""",Cold War
"Friday, March 25, 1960","""Don't Sit There Looking At Me Like That""",Civil Rights
"Sunday, March 27, 1960","""That Hound Is Howling Again""",Eisenhower Administration
"Tuesday, March 29, 1960","""Dick, You Think We Can Keep Holding? Dick?""",Eisenhower Administration
"Wednesday, March 30, 1960","""Darndest Race I Ever Saw""","Presidential Election, 1960"
"Thursday, March 31, 1960","""It Looks Like A Ray Of Light Up There""",Cold War
"Friday, April 1, 1960","""Perhaps Some Day A Kind Of Voluntary Program For -- Uh -- Voluntary Illnesses""",Eisenhower Administration
"Sunday, April 3, 1960","""Dear, I Don't Want To Seem Like A Square, But --""",Cuba
"Tuesday, April 5, 1960","""You Think He Might Get Interested In Us If We Moved To South Africa""",Eisenhower Administration
"Wednesday, April 6, 1960","""Let Us Know If You See Any Silver Linings""",Space
"Thursday, April 7, 1960","""And Now The Latest Returns On The Presidential Possibilities --""","Presidential Election, 1960"
"Friday, April 8, 1960","""I Packed My Kit In A Hurry, But I Have Everything I'll Need""",Eisenhower Administration
"Sunday, April 10, 1960","""Shh -- If He Saw Me, It Would Only Confuse Him""",Senate
"Tuesday, April 12, 1960","""Who Would Have Thought That the Revolution Contained So Many Traitors?""",Cuba
"Wednesday, April 13, 1960","""I Think Those Passive Resistance Demonstrations Are In The American Tradition""","Presidential Election, 1960"
"Thursday, April 14, 1960",[Untitled],Special Interests
"Friday, April 15, 1960","""Just An Old Cold Front On The Way Out -- I Hope""",Eisenhower Administration
"Sunday, April 17, 1960",Darkest Africa,South Africa
"Tuesday, April 19, 1960",Chain Of Command,Eisenhower Administration
"Wednesday, April 20, 1960",Ten Years In Korea,South Korea
"Thursday, April 21, 1960","""Wait For Your Leaders, Dammit""",Eisenhower Administration
"Friday, April 22, 1960","""Tell Me, As One Old Soldier To Another, How Does It Feel Actually To Run A Government?""",Eisenhower Administration
"Saturday, April 23, 1960","""Oh Dear -- Sometimes I Think They're Not Even Listening""",Cold War
"Sunday, April 24, 1960","""Now Would You Also Care To Sign Up For Optional Social Security, Optional Police And Fire Departments, Optional Armed Forces ...""",Eisenhower Administration
"Tuesday, April 26, 1960","""Come In. Tell Me How The People Reacted In India""",People's Republic of China
"Wednesday, April 27, 1960","""You Go On Back, Now""","Presidential Election, 1960"
"Thursday, April 28, 1960","""We Should Get Together More Often""",Eisenhower Administration
"Friday, April 29, 1960","""You Just Don't Seem To Fit In Here""",Eisenhower Administration
"Sunday, May 1, 1960","""Don't Be Old-Fashioned -- Everybody Goes Abroad These Days""","Presidential Election, 1960"
"Tuesday, May 3, 1960","""We Got Another One, Partner""",Capital Punishment
"Wednesday, May 4, 1960","""Yes, Master. Whom Do You Wish Me To Strike Down?""",House Un-American Activities Committee
"Thursday, May 5, 1960","""There, Now, You'll Be Sounds As A Dollar -- Though Not Quite As Important, Of Course""",Eisenhower Administration
"Friday, May 6, 1960","""What Happened To That Old Peace Pipe?""",Cold War
"Sunday, May 8, 1960","""They Were Imprudent In The Wrong Administration""",Truman Administration
"Tuesday, May 10, 1960","""What's So Funny?""",Cold War
"Wednesday, May 11, 1960","""Some Of Our Statecraft Is Missing""",Eisenhower Administration
"Thursday, May 12, 1960","""On To The Next State, Boys""","Presidential Election, 1960"
"Friday, May 13, 1960","""We Want Somebody To Keep An Eye On That Guy""",Eisenhower Administration
"Sunday, May 15, 1960","""It's Not Quite The Way We Visualized It, But --""",Cold War
"Tuesday, May 17, 1960",[Untitled],Cold War
"Wednesday, May 18, 1960","""We Said We'd Soon Have A Man In Space""",Cold War
"Thursday, May 19, 1960",[Untitled],Cold War
"Friday, May 20, 1960","""Did You Fellows Get All The News From Paris?""",Nuclear Weapons
"Sunday, May 22, 1960","""Never Did Much Hobnobbing With Him, Myself""","Presidential Election, 1960"
"Tuesday, May 24, 1960","""Come On, Come On -- Hurry It Up""","Presidential Election, 1960"
"Wednesday, May 25, 1960",Ghost Writer,Cold War
"Thursday, May 26, 1960","""What's Wrong With A Little Visit Of Seven Years Or So?""",Eisenhower Administration
"Friday, May 27, 1960","""Here Are The Directions -- Go To It, Boy""",Eisenhower Administration
"Sunday, May 29, 1960",[Untitled],Eisenhower Administration
"Tuesday, May 31, 1960",Depressed Area,Eisenhower Administration
"Wednesday, June 1, 1960","""Boy, You Think YOU'VE Got Problems --""",Eisenhower Administration
"Thursday, June 2, 1960","""Summitry Is A Silly Business Anyhow -- Lately""",Eisenhower Administration
"Friday, June 3, 1960",Speakers Platform,Eisenhower Administration
"Tuesday, June 7, 1960","""Yes Sir -- We Have To Keep Hunting Waste In Those Foreign Aid Programs""",Congress
"Wednesday, June 8, 1960","""I Call It A Riddle Wrapped In A Mystery Inside An Enigma""",Eisenhower Administration
"Thursday, June 9, 1960","""Will The Real Richard Nixon Please Stand Up?""","Presidential Election, 1960"
"Friday, June 10, 1960","""I Don't Know What's Getting Into These New Yorkers""","Presidential Election, 1960"
"Sunday, June 12, 1960","""Folks, We Might Just Prevail On This Great Leader To Respond To This Great Public Clamor""","Presidential Election, 1960"
"Tuesday, June 14, 1960","""Let's Watch It, Comrade""",Communism
"Wednesday, June 15, 1960","""Unity, It's Wonderful""",Congress
"Thursday, June 16, 1960",The Under-The-Bedside Manner,Eisenhower Administration
"Friday, June 17, 1960",[Untitled],Eisenhower Administration
"Sunday, June 19, 1960","""And Remember -- If You Criticize, You're Unpatriotic""",Eisenhower Administration
"Tuesday, June 21, 1960","""Here We Go Again""",Congress
"Wednesday, June 22, 1960","""Remember When We Only Worried About A Mess In Washington?""",Eisenhower Administration
"Thursday, June 23, 1960","""Thank Goodness You Got Back All Right -- Now We Can Stop Worrying""",Eisenhower Administration
"Friday, June 24, 1960",[Untitled],Communism
"Sunday, June 26, 1960","""Who Has Who in the Bag?""","Presidential Election, 1960"
"Tuesday, June 28, 1960","""I Said I Had Him Trained -- Notice How He Sits Up?""",Congress
"Wednesday, June 29, 1960","""Let's Not Blame Ourselves For What's Done By Those Darn Rocks""",Eisenhower Administration
"Thursday, June 30, 1960","""Well, You Ought To Know About 'Growthmanship'""","Presidential Election, 1960"
"Friday, July 1, 1960","""He's Very Busy, But You Can See Him On TV""",Cuba
"Sunday, July 3, 1960","""Boy, What Leadership!""",Congress
"Tuesday, July 5, 1960","""And Stop Pinching Me""",Sino-Soviet Split
"Wednesday, July 6, 1960","""I Want You To Have Complete Freedom To Marry Anyone I Select For You""","Presidential Election, 1960"
"Thursday, July 7, 1960",Seizure,Cuba
"Friday, July 8, 1960","""Everything Looks Rosy""",Eisenhower Administration
"Sunday, July 10, 1960","""I Thought We Left Him in Washington""",Civil Rights
"Tuesday, July 12, 1960","""And Now The News From Moscow, Havana, Africa, Asia, Newport ...""","Presidential Election, 1960"
"Wednesday, July 13, 1960","""Gosh, Lyndon, If Only You Had Shown That Kind Of Fight Against The Administration""","Presidential Election, 1960"
"Thursday, July 14, 1960","""And Tell The U.N. We Also Protest The Aggressive Attitude Of The Democratic Party""",Soviet Union
"Friday, July 15, 1960","""You Think You Can Get My Bandwagon Going Again?""","Presidential Election, 1960"
"Sunday, July 17, 1960",[Untitled],Senate
"Tuesday, July 19, 1960","""Has There Been Any Pressure On You, Governor?""","Presidential Election, 1960"
"Wednesday, July 20, 1960","""I Want To Protect You""",Soviet Union
"Thursday, July 21, 1960","""We Hope You Didn't Get The Impression That We Don't Have Any Use For You""","Presidential Election, 1960"
"Friday, July 22, 1960","""But I Gave Him His Independence, Didn't I?""",Republic of Congo
"Sunday, July 24, 1960","""Well, What Do You Think?""","Presidential Election, 1960"
"Tuesday, July 26, 1960","""This Can't Be Happening To Me""","Presidential Election, 1960"
"Wednesday, July 27, 1960","""A Little Closer -- Not Too Close -- Smile -- That's It""","Presidential Election, 1960"
"Thursday, July 28, 1960","""Sometimes I Feel Like Running Away, Too, But I Don't Know Where To Go""","Presidential Election, 1960"
"Friday, July 29, 1960","""This Brand-New Time-Tested Product Of Firm Flexibility, Just Like The Old Formula But Entirely Different --""","Presidential Election, 1960"
"Sunday, July 31, 1960","""And Now, Back To The World Of Reality ...""","Presidential Election, 1960"
"Tuesday, August 2, 1960","""I Haven't Got The Other Details Worked Out Yet""","Presidential Election, 1960"
"Wednesday, August 3, 1960","""Do We Use Re-Runs Or Are You The Summer Replacement?""",Cuba
"Thursday, August 4, 1960","""And Besides, Those Grapes Are Sour""","Presidential Election, 1960"
"Friday, August 5, 1960",Up From The Jungle,United Nations
"Sunday, August 7, 1960",New Frontier,"Presidential Election, 1960"
"Tuesday, August 9, 1960","""What If I Were To Threaten To Turn Up At The U.N. Wearing One Of These?""","Presidential Election, 1960"
"Wednesday, August 10, 1960","""Now All We Have To Do Is Prove That We Haven't Been Here The Past Seven Years""","Presidential Election, 1960"
"Thursday, August 11, 1960","""La-deez And Gen-tul-men -- We Now Present The Greatest Judicial Trial On Earth""",Soviet Union
"Friday, August 12, 1960",Exporting Country,People's Republic of China
"Sunday, August 14, 1960","""Pray Keep Moving, Brother""",Civil Rights
"Tuesday, August 16, 1960",Medical Aid,"Presidential Election, 1960"
"Wednesday, August 17, 1960","""Of Course I Want To Help The Aged. Here""",Eisenhower Administration
"Thursday, August 18, 1960","""Do You Think Lumumba Is Ready For Self-Government Yet?""",Republic of Congo
"Friday, August 19, 1960","""A Brilliant Production; But, Confidentially, Don't You Think The Second Act Sagged A Little?""",Soviet Union
"Sunday, August 21, 1960","""Well, I'll Be Darned""","Presidential Election, 1960"
"Tuesday, August 23, 1960","""I Hardly Touch The Stuff Myself, Any More""","Presidential Election, 1960"
"Wednesday, August 24, 1960","""Have You Heard The Latest? Now They've Brought Back Molotov From Outer Mongolia""",Soviet Union
"Thursday, August 25, 1960","""Seldom Has A Candidate Had So Much Experience At Not Being Responsible For Decisions""","Presidential Election, 1960"
"Friday, August 26, 1960","""Grandpa, I'd Like To Do My Own Hunting""","Presidential Election, 1960"
"Sunday, August 28, 1960",All Quiet Along The Potomac,Congress
"Tuesday, August 30, 1960","""Whew!""","Presidential Election, 1960"
"Wednesday, August 31, 1960","""Damned Bourgeois Latinos!""",Cuba
"Thursday, September 1, 1960",Time Bombs,Eisenhower Administration
"Friday, September 2, 1960","Meanwhile, Back At The Ranch --",Congress
"Sunday, September 4, 1960",[Untitled],"Presidential Election, 1960"
"Tuesday, September 6, 1960","""Long Time No See""",Civil Rights
"Wednesday, September 7, 1960","""Rain, Rain, Please Remember, Stay Away Until November""","Presidential Election, 1960"
"Thursday, September 8, 1960","""Boy -- Suppose That Had Happened While I Was In Office""",Cold War
"Friday, September 9, 1960",[Untitled],"Presidential Election, 1960"
"Sunday, September 11, 1960","""By Golly, if I Had a Part in This Campaign --""","Presidential Election, 1960"
"Tuesday, September 27, 1960",[Untitled],Cold War
"Wednesday, September 28, 1960","""Sir! What Are You Doing In My Boudoir?""",Cold War
"Thursday, September 29, 1960","""This Is Your Friendly Pilot. It's A Lovely Day, We Are Still Above Ground, And So Everything Is Fine""",Eisenhower Administration
"Friday, September 30, 1960","""Which Did You Say Are The New Nations?""",Cold War
"Sunday, October 2, 1960",Great Debate,"Presidential Election, 1960"
"Tuesday, October 4, 1960","""How Can We Trust A Man Who Is Prejudiced Against Crime?""",United Nations
"Wednesday, October 5, 1960","""Oh, Yes -- He WAS Here, But He Just Left""",Eisenhower Administration
"Thursday, October 6, 1960","""'Tis But Thy Name That Is My Enemy ... O, Be Some Other Name""","Presidential Election, 1960"
"Friday, October 7, 1960","""Congratulations -- You Really Stood Up To Him""",United Nations
"Sunday, October 9, 1960","""Not That I Really Approve Of It""",Eisenhower Administration
"Tuesday, October 11, 1960",Coalition,"Presidential Election, 1960"
"Wednesday, October 12, 1960","""Our Prestige Was Never Higher""",Eisenhower Administration
"Thursday, October 13, 1960","""Tricks Or Treaties""",Nuclear Weapons
"Friday, October 14, 1960","""Well, Back To The Old Humdrum Routine""",Soviet Union
"Sunday, October 16, 1960","""Which Face And What Opinions Will Dick Put On Next? Tune In Again ...""","Presidential Election, 1960"
"Tuesday, October 18, 1960","""Later On, I Might Take A Little Dip""","Presidential Election, 1960"
"Wednesday, October 19, 1960","""How Shocking! Truman Used The Word 'Hell'""","Presidential Election, 1960"
"Thursday, October 20, 1960","""What Happens When They Run Out Of Foreigners?""",Cuba
"Friday, October 21, 1960","""Who Needs Another Debate?""","Presidential Election, 1960"
"Sunday, October 23, 1960","""Onward, 'Christian' Soldiers""",Civil Rights
"Tuesday, October 25, 1960","""Faster, Dammit!""","Presidential Election, 1960"
"Wednesday, October 26, 1960","""To Show That You're Really Fair, Bend Over Backward Just A Bit More""",Soviet Union
"Thursday, October 27, 1960","""Poll? What Poll? Who Puts Any Stock In Polls?""",Eisenhower Administration
"Friday, October 28, 1960","""You Say Kennedy Is Young And Impulsive And Spends Money. Tell Me More About This Terrible Man""","Presidential Election, 1960"
"Sunday, October 30, 1960",Algerian Sands,France
"Tuesday, November 1, 1960","""Don't Let Him Run You Down By Telling You You're Not In Perfect Shape""","Presidential Election, 1960"
"Thursday, November 3, 1960","""Folks -- Wait -- Listen --""","Presidential Election, 1960"
"Friday, November 4, 1960","""And Now A Word To You-All From Our Little Old Local Sponsor --""","Presidential Election, 1960"
"Sunday, November 6, 1960","""Why Don't You Watch Where You're Driving?""","Presidential Election, 1960"
"Tuesday, November 8, 1960","""It's Interesting To See What They're Doing In The United States""","Presidential Election, 1960"
"Wednesday, November 9, 1960","""The Outcome Was, Of Course, Inevitable --""","Presidential Election, 1960"
"Thursday, November 10, 1960","""Now, With Just Another Small Switch --""","Presidential Election, 1960"
"Friday, November 11, 1960","""We Didn't Do So Well Either""","Presidential Election, 1960"
"Saturday, November 12, 1960","""Some Day That Thing's Gonna Blow Up in My Face""",Presidential Elections--Process
"Sunday, November 13, 1960","""And Now The Reports From Latin America, Africa, Asia, The Middle East --""","Presidential Election, 1960"
"Tuesday, November 15, 1960","""There's Nothing Like A Good Smoke, Men""",Cuba
"Wednesday, November 16, 1960","""Help!""",Civil Rights
"Thursday, November 17, 1960",Gateway To The New Frontier,Kennedy Administration
"Friday, November 18, 1960","""Okay, Boy -- We'll Let You Co-Exist With Us A While Longer""",Sino-Soviet Split
"Sunday, November 20, 1960","""So, You See, The People Really Elected Barry Goldwater""","Presidential Election, 1960"
"Tuesday, November 22, 1960","""The Way I Get It, The New President Plans To Unleash The U.S.""",Kennedy Administration
"Wednesday, November 23, 1960","""Dealer Wins And Winner Deals""",Urban Issues
"Thursday, November 24, 1960","""We're Almost Ready To Take Off Again""",Presidential Elections--Process
"Saturday, November 26, 1960","""If We Hurry, We'll Finish Just In Time For The New Tenant To Redecorate""",Eisenhower Administration
"Sunday, November 27, 1960","""Just Think -- Some Day He Might Become All-American Quarterback""","Kennedy, John F."
"Tuesday, November 29, 1960","""Now, Has Everyone Got One Of These Little Figures And A Set Of Pins?""",Kennedy Administration
"Wednesday, November 30, 1960",Cutting-Room Floor,House Un-American Activities Committee
"Thursday, December 1, 1960","""I Don't Know About You, But I've Never Been Higher""",Eisenhower Administration
"Friday, December 2, 1960","""We Extend Our Hand To All Still Struggling Under Colonialism""",Soviet Union
"Sunday, December 4, 1960","""It Looks Like A Whole Flock Of Them""",Kennedy Administration
"Tuesday, December 6, 1960","""We're For All Africans Named Lumumba""",United Nations
"Wednesday, December 7, 1960","""What's This Ugly Talk About Applying Rules To ME?""",Congress
"Thursday, December 8, 1960","""Guess What -- We Ain't Imaginary Characters After All""",Eisenhower Administration
"Friday, December 9, 1960","""They Don't Come Out Even""",Kennedy Administration
"Sunday, December 11, 1960","""On To The Old OLD Frontier""",Republican Party
"Tuesday, December 13, 1960",State Department Red Carpet,Kennedy Administration
"Wednesday, December 14, 1960","""There Are Some Surpluses I Don't Mind""",Urban Issues
"Thursday, December 15, 1960","""You Know What I'd Like To Do? I'd Like To Push This Right Down Over That Guy's Ears""",Civil Rights
"Friday, December 16, 1960","""I Don't Want In OR Out -- I Just Want To Sit Here And Yowl""","Presidential Election, 1960"
"Sunday, December 18, 1960","""We're Gonna Have To Get That Thing Fixed""",Presidential Elections--Process
"Tuesday, December 20, 1960",Space Capsule Recovery Attempt,Kennedy Administration
"Wednesday, December 21, 1960","""Good Heavens -- That Stuff Is Dangerous!""",Israel
"Thursday, December 22, 1960",[Untitled],France
"Friday, December 23, 1960",A Cloud No Bigger Than A Couple Of Hands,Kennedy Administration
"Tuesday, December 27, 1960","""There's Some Dangerous Radical Talk About Democracy Going Around Again""",Congress
"Wednesday, December 28, 1960","""Here Goes A Beautiful Relationship""",Eisenhower Administration
"Thursday, December 29, 1960","""No Use Making Extra Trips""",Soviet Union
"Friday, December 30, 1960","""They Went Thataway""",Kennedy Administration
"Sunday, January 1, 1961","""My Boy Is An Abstainer""",Eisenhower Administration
"Tuesday, January 3, 1961","""In A Word, Yes""",Eisenhower Administration
"Wednesday, January 4, 1961","""Daughter And I Are All Set For The Honeymoon""",Kennedy Administration
"Thursday, January 5, 1961","""Move One To The Back Burner -- One Up To The Front Burner --""",Soviet Union
"Friday, January 6, 1961","""Oh, No, You Wouldn't -- Would You?""",US Economy
"Sunday, January 8, 1961","""It's Too Small To Play House. Let's Play School""",Schools
"Tuesday, January 10, 1961","""Sir, Several More Of Our Men Have Defected To The Enemy""",Public Health
"Wednesday, January 11, 1961","""It Must Be Fine To Have A College Education""",Civil Rights
"Thursday, January 12, 1961","""Some Of These Days, You're Gonna Miss Me, Honey --""",Kennedy Administration
"Friday, January 13, 1961","""Us Collidge Kids Got To Have More Pep Rallies""",Civil Rights
"Sunday, January 15, 1961","""Briefly, It's Up To You To Clean Up The Success In Washington""",Kennedy Administration
"Tuesday, January 17, 1961","""Well, It Certainly Won't Hurt To ASK Benson What He's Doing After This Week""",Soviet Union
"Wednesday, January 18, 1961","""Pardner, This Country Isn't Big Enough For Both Of Us""",Civil Rights
"Thursday, January 19, 1961","""Now, Mr. Bowles, Tell Us Just What You Think Is Out Here Beyond The Edge Of The World""",Kennedy Administration
"Friday, January 20, 1961",Ta-Daaaaaaaaaaaaaaaaaaa ----,Kennedy Administration
"Saturday, January 21, 1961","""Chief, I Just Don't Think He's Ready For The Idea""",Kennedy Administration
"Sunday, January 22, 1961","""We're Here for the Post-Inaugural Non-Gala""",Kennedy Administration
"Tuesday, January 24, 1961","""Nature And Some Minor Officials Have Failed You""",Communism
"Wednesday, January 25, 1961","""Coalition? What Coalition?""",Congress
"Thursday, January 26, 1961","""I Enjoyed Censoring The Movie So Much, One Of These Days I'd Like To Censor The Book""",Supreme Court
"Friday, January 27, 1961","""Now How About Survivors From This Other Plane That We Downed?""",Cold War
"Sunday, January 29, 1961","""It Looks Like The Same Old Tribe At The Pass""",Kennedy Administration
"Tuesday, January 31, 1961","""All Right -- Everybody Up -- Let's Go""",Kennedy Administration
"Wednesday, February 1, 1961","""All In The Honeymoon Spirit, You Understand""",Kennedy Administration
"Thursday, February 2, 1961","""He Said For Me To Wait For An Answer""",Kennedy Administration
"Friday, February 3, 1961","""Men, I Think There's A Better Way To Use Them""",Kennedy Administration
"Sunday, February 5, 1961","""None Of You Fellows Strong Enough To Swing It?""",Republic of Congo
"Tuesday, February 7, 1961","""We Don't Have The Winters We Used To -- I Remember When There Was Only A Few Inches Of Snow""",Weather
"Wednesday, February 8, 1961","""Here's Some Bad News, Dear""",Kennedy Administration
"Thursday, February 9, 1961","""Anyhow, There's A Definite DISarmament Gap""",Cold War
"Friday, February 10, 1961","""I Never Had Anything From There Before""",Civil Rights
"Sunday, February 12, 1961",Big Game Hunters,Republic of Congo
"Tuesday, February 14, 1961","""Now A Little Foreground Briefing --""",Cold War
"Wednesday, February 15, 1961","""Listen, -- When I Get Through With It, It Won't Be Worth Belonging To""",Cold War
"Thursday, February 16, 1961","""We Must Join To Avenge Our Dear Friend, Lumumba""",Assassination
"Friday, February 17, 1961","""You See The Trouble He's Got You In? We Used To Call This Hole 'Ike's Peak'""",Kennedy Administration
"Sunday, February 19, 1961","""Let's Move It, Buster""",United States Postal Service
"Tuesday, February 21, 1961","""This Little Kid's Got A Big Guy With Him""",Kennedy Administration
"Wednesday, February 22, 1961",Operation Abolition,House Un-American Activities Committee
"Thursday, February 23, 1961",World-Wide Non-Missile Gap,Kennedy Administration
"Friday, February 24, 1961","""Water!""",Kennedy Administration
"Sunday, February 26, 1961","""Open Wide and Say 'Bah'""",Congress
"Tuesday, February 28, 1961","""To See Or Not To See, That Is The Question --""",Republic of Congo
"Wednesday, March 1, 1961",New Decoration,Senate
"Thursday, March 2, 1961","""You're A Big Boy Now -- You Can Help Push""",Kennedy Administration
"Friday, March 3, 1961","""Hey, Look -- We've Got An Escort""",Republic of Congo
"Sunday, March 5, 1961","""What Do You Suppose Is Going On Down There?""",US Economy
"Tuesday, March 7, 1961","""Hi, Cousin -- How Are Things At The Club?""",Special Interests
"Wednesday, March 8, 1961","""Here, Little Boy. Pull The Nice Horse In With You""",Kennedy Administration
"Thursday, March 9, 1961","""What's This Talk About Fireside Chats?""",Kennedy Administration
"Friday, March 10, 1961","""Maybe We Shouldn't Have Made So Many Speeches About The Government Spending Too Much Money""",Special Interests
"Sunday, March 12, 1961","""Goodness, Are You The Beat And Angry Young Men I've Heard So Much About?""",Kennedy Administration
"Tuesday, March 14, 1961","""We'll See How Tough The New Cop Is""",Kennedy Administration
"Wednesday, March 15, 1961","""No More Manana, Senor""",Latin America
"Thursday, March 16, 1961","""Now, About Conflicts Of Interest -- Uh, Let's See, Where Was I? --""",Kennedy Administration
"Friday, March 17, 1961","""Too Bad We Can't Leave The Whole Darn Thing""",South Africa
"Sunday, March 19, 1961","""It Hardly Seems Possible""",Washington DC
"Tuesday, March 21, 1961","""Well, I Took You All The Way To The Top""",Civil Rights
"Wednesday, March 22, 1961","""Shall We Resume Testing Human Beings?""",Cold War
"Thursday, March 23, 1961","""I've Said All Along I Was Against Cold War""",Soviet Union
"Friday, March 24, 1961",[Untitled],Kennedy Administration
"Sunday, March 26, 1961",Test,Kennedy Administration
"Tuesday, March 28, 1961","""saddle Up. We Can Still Head 'Em Off At The Gulch""",Kennedy Administration
"Wednesday, March 29, 1961","""We'll Discuss Another Can Of Gas After The Next Lap""",Kennedy Administration
"Thursday, March 30, 1961","""We've Been Killing 'Em In Washington""",Republican Party
"Friday, March 31, 1961","""We Can Use A Compact Too""",Kennedy Administration
